Dragonbone Weapon Parts
-1433.703979 -371.400848 -1506.876709
-1425.793579 -371.307587 -1500.600342
-1417.629028 -371.297546 -1494.767456
-1423.188477 -370.998993 -1503.202515
-1431.253296 -371.203583 -1509.873901
-1440.735962 -371.691589 -1513.635986
-1451.002075 -372.023376 -1515.398071
-1460.981079 -372.023376 -1516.292847
-1471.205444 -372.023376 -1516.682983
-1481.430664 -372.023376 -1517.049194
-1492.103271 -372.023376 -1517.622192
-1501.994141 -371.941467 -1519.773926
-1511.432739 -371.756744 -1523.502197
-1520.262695 -371.089752 -1528.430176
-1528.954102 -370.377808 -1533.609253
-1537.851563 -369.487366 -1538.693848
-1547.332886 -368.622253 -1542.922363
-1556.855469 -367.839264 -1546.222534
-1566.340698 -367.827362 -1549.396851
-1576.162476 -368.105408 -1552.587280
-1585.971436 -368.681976 -1555.758179
-1609.461548 -368.759003 -1537.215454
-1609.461548 -368.759003 -1537.215454
-1622.173096 -369.626099 -1549.506226
-1629.551147 -369.552246 -1556.397705
-1637.251587 -369.343994 -1563.250244
-1645.643921 -368.739166 -1569.141235
-1654.339600 -368.042603 -1574.349976
-1663.198975 -367.176086 -1579.657227
-1672.009644 -366.421356 -1584.934570
-1680.804077 -367.216370 -1590.202148
-1689.581665 -367.977173 -1595.459961
-1698.129761 -368.853088 -1600.580322
-1706.945923 -369.557159 -1605.610718
-1716.324097 -370.160980 -1609.454956
-1726.156372 -370.733002 -1613.187500
-1735.855225 -371.023376 -1616.566650
-1745.553833 -371.168671 -1619.945801
-1755.180420 -370.953003 -1623.300049
-1764.626099 -370.255737 -1626.591187
-1774.125977 -369.626526 -1629.901001
-1784.095581 -369.920807 -1633.374390
-1793.994019 -371.196289 -1636.820557
-1803.603760 -372.729126 -1640.596802
-1812.692017 -374.205750 -1644.817383
-1820.478760 -374.989410 -1651.185547
-1827.966797 -375.121307 -1657.996948
-1834.313843 -374.885864 -1665.957153
-1839.507080 -374.685608 -1674.537476
-1842.708618 -374.779755 -1684.300781
-1841.361938 -376.211609 -1694.503418
-1838.277832 -377.115234 -1704.192993
-1835.124390 -380.989594 -1712.916138
-1832.042969 -383.340240 -1722.449707
-1829.818359 -384.400421 -1732.451660
-1829.899414 -386.738922 -1742.320435
-1833.397949 -388.636841 -1751.975708
-1841.410645 -389.523438 -1758.248535
-1850.312256 -390.050018 -1763.175781
-1859.781616 -390.684204 -1767.488892
-1869.574707 -390.819489 -1770.176025
Custom
HailActor "Pudge the Brave" 2
-1874.244263 -390.825195 -1771.649658
