Mysterious Mark
Custom
ClickActor "speared remains"
1551.214722 497.695953 769.085327
1597.265381 493.894470 788.306824
1643.230103 488.479614 807.816406
1689.301514 483.060852 827.381165
1735.227417 477.659088 846.884155
1780.989624 472.276398 866.317505
1820.680420 468.478485 896.955627
1848.741821 462.525665 938.256775
Custom
FlyDown
1862.877808 458.938873 957.939453
1869.006226 453.270081 963.955627
1876.348511 453.186584 971.170715
1883.254639 453.186584 978.523376
1889.540039 453.186584 986.693787
1896.439941 453.186584 994.318542
1903.543945 453.338440 1001.495056
Custom
ClickActor mariners_bell
1910.022217 453.186584 1007.353210
Wait
50
1910.022217 453.186584 1007.353210
Custom
TravelMap "Jarsath Wastes"
1910.022217 453.186584 1007.353210
-303.517700 -46.089073 1397.618652
-275.258392 -5.420480 1389.599121
-233.024887 21.192591 1392.451050
-183.072708 25.521965 1396.248169
-133.073349 28.318432 1400.048828
-82.917412 28.318758 1403.859253
-32.957367 28.319016 1406.084595
15.948587 19.504004 1400.084839
61.206917 0.521140 1390.097900
103.167076 -24.917826 1380.417969
Custom
FlyDown
122.193344 -35.076866 1374.852295
122.174232 -47.583260 1374.865112
129.288239 -47.063023 1382.070923
Custom
HailActor "Gamble Blitherton" 8
130.200638 -48.556217 1389.957642
127.550781 -47.132355 1380.222046
124.867088 -46.139111 1370.361328
122.692879 -45.220486 1360.233887
121.356987 -44.155102 1350.282837
122.265610 -42.217556 1340.495483
122.316513 -40.332352 1330.414063
121.797516 -38.367222 1320.612061
121.512199 -35.075027 1310.920654
121.695068 -31.528419 1301.418579
121.896118 -33.180462 1291.496216
120.840126 -31.873880 1281.304688
119.152252 -30.246849 1271.369141
117.139450 -29.513195 1261.552124
114.973495 -28.945299 1251.553345
112.355743 -28.147985 1241.839966
109.746826 -26.736664 1232.084595
107.162613 -25.602232 1222.421631
104.312477 -25.409851 1212.760376
100.079147 -26.979689 1203.610229
94.868195 -29.852446 1195.366089
90.017380 -32.846405 1187.059082
86.215408 -35.882133 1177.907593
86.348000 -37.224079 1167.978027
91.849800 -37.972485 1159.323486
101.020973 -37.922382 1155.210693
111.062950 -37.367931 1154.971924
121.307022 -36.850029 1156.422974
131.508667 -36.544979 1157.902466
141.388519 -37.192673 1159.335327
151.344040 -39.191307 1160.778809
161.545609 -39.481926 1162.258423
171.747177 -39.623516 1163.738159
181.835236 -39.741138 1165.201416
192.112518 -39.458107 1166.691772
202.314117 -39.188019 1168.171143
212.421036 -39.010159 1169.637085
222.319794 -38.951855 1171.072876
232.313187 -39.230007 1172.522095
242.268738 -39.515968 1173.966187
252.142792 -39.213600 1175.751099
262.024200 -38.149792 1178.325439
271.363739 -36.006630 1181.833252
280.246674 -33.736374 1186.286377
288.255829 -30.791540 1192.006104
295.873962 -28.547550 1198.528198
302.337982 -26.199427 1206.201172
305.768677 -23.557968 1215.310059
308.149689 -22.297220 1224.966064
310.783722 -22.126970 1234.951660
313.252686 -24.947739 1244.506104
316.243805 -29.405140 1253.333862
319.866577 -34.665428 1261.034790
323.921844 -38.696037 1269.263916
329.347870 -42.254330 1277.489258
Custom
PathKill 52 35 35 1 1 1 "a Yha-lei" "I have the artifacts that Gamble desires! Let's hope he tells me what I want to know" 1
333.153503 -43.508526 1281.337646
342.805267 -44.283916 1278.271973
352.400909 -44.893986 1275.224365
362.243103 -45.539707 1272.098633
371.831970 -46.042942 1269.127441
381.753113 -46.955353 1267.060547
391.843506 -48.160255 1265.946899
401.870361 -47.052174 1265.134644
411.733429 -44.909729 1264.439697
421.731781 -47.300819 1263.759888
431.882874 -47.323952 1263.069580
442.025909 -46.617962 1262.100586
451.867157 -45.943939 1259.794556
461.526001 -45.379662 1256.096436
471.138794 -45.993263 1252.217773
480.514526 -46.321232 1248.222168
489.502472 -46.348404 1243.791626
498.242554 -46.197495 1238.344604
506.162445 -45.566074 1231.981445
514.254028 -44.572681 1225.454224
513.052002 -42.395718 1215.432129
506.589844 -41.179703 1207.609741
497.527374 -40.063919 1203.085815
488.433533 -37.005039 1199.654175
479.827576 -31.871536 1197.216309
470.414154 -34.175171 1194.684692
460.828949 -32.735928 1191.830688
451.476685 -37.236191 1191.731079
442.334503 -41.209694 1192.754028
432.879547 -37.792156 1193.710938
422.929779 -38.892113 1195.947144
413.581665 -40.550953 1199.626709
403.809326 -41.128281 1202.550537
394.060181 -40.387611 1200.420288
393.539398 -37.469265 1190.686523
396.895538 -33.084457 1182.107544
401.307770 -27.982267 1174.411621
404.453766 -25.388222 1165.229370
402.774078 -25.445038 1154.997070
400.553680 -23.206154 1145.364624
399.260712 -22.195248 1135.476318
397.330322 -19.343248 1125.994995
393.402954 -15.799234 1117.297852
388.925781 -13.644074 1108.597046
385.034546 -13.320278 1099.150024
382.774200 -17.194464 1089.872070
380.992889 -14.872920 1079.893555
379.709442 -12.291329 1070.187622
378.228424 -16.860683 1061.312256
375.015869 -16.626282 1051.781738
369.365234 -13.286517 1044.039795
362.641266 -8.166407 1038.130859
365.667847 -8.803391 1028.616943
333.297668 -43.521893 1281.291016
333.297668 -43.521893 1281.291016
334.979736 -41.692528 1271.458984
336.504272 -40.130058 1261.592163
334.131104 -37.833221 1251.798584
329.643738 -34.293697 1243.230713
323.539001 -29.674910 1236.417603
316.433441 -25.514097 1230.067383
308.737122 -22.624857 1224.138794
300.455505 -21.380756 1218.462280
291.865387 -22.540077 1212.942017
283.173645 -24.718702 1208.272339
274.316010 -27.890812 1203.626221
265.695282 -30.290411 1199.104736
257.244019 -33.436737 1194.671997
248.691101 -36.516106 1190.186035
239.613190 -37.476170 1185.424194
230.552216 -38.339901 1180.671509
221.389618 -38.617329 1175.865479
212.314606 -39.038704 1171.599121
202.469238 -39.176266 1169.439209
192.271591 -39.418114 1168.606445
182.147705 -39.579956 1167.808472
171.909470 -39.353230 1167.001099
161.938110 -39.406425 1166.214966
151.718964 -38.525089 1165.409424
141.900146 -36.397194 1164.635376
131.947861 -34.900757 1163.850830
121.766716 -34.700851 1163.047852
111.623680 -35.502277 1162.248291
101.438232 -36.486488 1161.524902
91.984375 -37.003147 1164.817871
84.838646 -36.898258 1172.136230
79.972931 -37.016285 1181.202271
79.813286 -36.539375 1191.394775
80.309669 -36.222099 1201.594482
81.956444 -36.349426 1211.610352
84.426132 -36.217598 1221.445190
87.429482 -36.900360 1231.226074
90.432838 -37.880764 1241.006836
93.430595 -38.674820 1250.769653
96.043159 -39.027916 1260.773682
98.241592 -39.691456 1270.571045
100.465149 -40.402969 1280.480103
102.807335 -40.926620 1290.340454
105.550873 -40.715912 1300.098267
108.296768 -40.333469 1309.855347
110.980530 -41.736359 1319.391724
113.726440 -42.581982 1329.149048
116.657562 -43.363140 1338.831543
119.839584 -44.195255 1348.475464
123.033653 -44.868320 1358.095337
126.191330 -45.460075 1367.706665
129.111282 -46.349285 1377.252563
130.155975 -47.859573 1387.419556
Custom
HailActor "Gamble Blitherton" 4
129.868958 -48.523945 1389.411865
122.291977 0.924099 1390.198242
83.475578 32.216984 1394.866699
33.357731 33.438988 1397.511719
-16.598137 33.438427 1400.147217
-66.772331 33.437859 1402.794189
-116.906807 33.437286 1405.438721
-167.040894 33.436707 1408.083130
-212.486465 12.543386 1411.722900
-255.520370 -13.556507 1414.055298
-298.917480 -39.085388 1413.755493
Custom
FlyDown
-301.226013 -40.663692 1413.380005
Custom
ClickActor mariners_bell
-307.983917 -46.064316 1410.785156
Wait
50
-307.983917 -46.064316 1410.785156
Custom
TravelMap "Butcherblock Mountains"
-307.983917 -46.064316 1410.785156
741.465210 24.002501 524.272339
741.267761 24.002501 534.378113
740.723267 24.002501 544.498596
739.918823 24.870007 554.429749
735.999268 25.911055 563.900879
726.745361 24.366732 567.482422
716.773621 23.127678 569.248779
706.465820 24.002501 570.578735
696.374329 24.002501 571.715576
686.286987 24.002501 573.873413
676.289917 24.002501 575.814026
666.132263 24.002501 576.255127
656.084167 25.911055 575.987976
646.024353 25.911055 575.983276
635.987915 26.002501 576.118225
626.814697 25.911055 580.557068
623.676208 25.911055 590.213989
623.847412 25.911055 600.229553
625.587524 25.911055 610.481384
630.178223 26.401472 619.700439
638.248230 23.851324 625.423767
648.248413 23.932863 627.492065
Custom
HailActor "Drarson McCale" 7
656.918579 23.996750 622.540100
Wait
50
656.918579 23.996750 622.540100
Wait
450
46.949314 2.231899 3.784975
Custom
HailActor "Drarson McCale" 5
37.892426 0.309630 3.533176
