Show Not Tell
-37.722057 533.571838 -363.318939
-60.691101 550.190369 -404.702698
-83.669357 566.815613 -446.102783
-106.565720 583.381653 -487.355377
-122.120728 586.841431 -534.793579
-119.200539 586.529846 -584.707764
-124.724731 583.515503 -634.362854
Custom
FlyDown
-122.709732 582.471191 -673.706970
-122.602707 575.540100 -680.932312
-122.142197 575.288635 -691.199341
-119.565201 574.433167 -701.025330
Custom
HailActor "Himaduri" 2
-113.068573 574.433167 -710.456116
