Ore of Yore
24.404648 28.641844 -437.584686
21.783098 28.097563 -447.334564
19.127686 27.008986 -457.006073
16.395502 27.008986 -466.819519
13.722957 27.008986 -476.553589
16.478455 28.566023 -486.256622
23.132172 28.634108 -493.850464
25.788158 28.633282 -496.881775
25.716478 27.114811 -506.993591
25.510300 27.009062 -517.038940
25.477297 27.009062 -518.086487
25.477297 59.067616 -518.086487
24.964121 51.285110 -541.649536
Wait
20
24.329134 47.951645 -544.788696
ClickActor
"great hammer"
24.329134 47.951645 -544.788696
Wait
20
24.329134 51.951645 -544.788696
ClickActor
"great hammer"
24.329134 47.951645 -544.788696
Wait
20
24.329134 51.951645 -544.788696
23.785192 38.656975 -493.019714
23.491796 29.854675 -444.221191
Custom
FlyDown
23.491796 29.854675 -444.221191
23.542362 28.641844 -433.968414
23.411514 28.641844 -426.554657
13.307197 28.641844 -425.542725
7.832476 28.641844 -424.994415
9.138610 28.641844 -414.897797
9.771584 28.607765 -404.821167
10.370718 28.545940 -394.631866
10.962287 28.367338 -384.570892
11.554804 28.367338 -374.493835
12.145426 28.446928 -364.448975
12.747405 28.446928 -354.210968
13.348437 28.446928 -343.989044
13.507203 27.627989 -333.979462
13.441734 26.918531 -323.966125
13.375001 26.655973 -313.759216
13.308581 26.655973 -303.600708
12.870506 26.590256 -293.552917
9.834714 26.392525 -283.785156
6.111732 26.355955 -274.352081
1.719930 26.565992 -265.191681
-2.626407 26.565992 -256.134766
-6.958793 26.355955 -247.106873
-11.298150 26.398281 -238.064453
-15.742158 26.355955 -228.803909
-20.109428 26.565992 -219.703278
-23.360466 26.565992 -212.928711
-22.402121 26.565992 -202.957672
-21.439293 26.565992 -192.939987
-20.458830 26.565992 -182.796539
-18.134846 26.565992 -172.719559
-15.325221 26.565992 -163.041000
-12.524896 26.565992 -153.259247
-10.273466 26.565992 -143.474792
-9.495896 26.565992 -135.645340
-9.270250 26.565992 -125.515282
-8.809841 26.618227 -115.380920
-8.137618 24.840940 -105.261574
-7.256321 21.378626 -95.416328
-6.344628 17.264006 -86.302849
-5.450650 12.303122 -77.527916
-4.474957 9.296233 -67.950890
-3.509068 5.626625 -58.470097
-2.566060 1.443413 -49.213879
-1.551142 -0.367709 -39.251816
-0.529686 -0.983334 -29.225584
-0.016203 -1.891614 -19.214144
1.002251 -2.521572 -9.090432
1.749564 -1.740252 0.927543
2.253630 -0.096310 10.815239
2.691962 -0.096309 20.932220
2.949759 -0.096309 31.168180
2.968641 -0.096309 41.213940
2.946800 -0.096309 51.275913
3.002275 -0.096309 61.337742
ClickActor
zone_to_butcherblock_mountains
3.034861 -0.089824 64.701668
Custom
WaitForZoning
3.034861 -0.089824 64.701668
-168.653931 164.992233 -549.462463
-165.477478 203.910706 -517.796753
-158.630173 226.267334 -473.338684
-150.389282 248.772903 -429.274475
-141.164505 248.772903 -379.946747
-131.939346 248.772903 -330.616882
-122.743423 248.772903 -281.443390
-113.492653 248.772903 -231.977127
-133.148178 248.772903 -185.836792
-178.693390 248.772903 -165.016830
-223.154526 225.472198 -164.141632
Custom
FlyDown
-226.720551 215.107925 -174.692886
-225.780228 213.325333 -179.865250
Custom
Door
-225.422852 214.267593 -182.143188
Wait
10
-225.422852 214.267593 -182.143188
-225.756546 214.444885 -184.000504
-225.919144 214.444885 -185.739410
Custom
HailActor IronStein 8
-231.909088 214.444885 -190.368866
