Constructing Cardin Wardens
-624.708801 -11.272774 -31.847338
-616.167847 -12.081659 -25.923222
-607.373291 -12.762920 -20.398228
-598.843140 -13.046596 -15.027529
-590.639099 -12.343996 -9.151127
-583.839417 -11.290437 -1.782980
-567.342834 -5.095809 15.015941
-567.342834 -5.095809 15.01594
-572.070496 -8.039179 6.415167
-576.573059 -10.593375 -2.192887
-581.344788 -12.529356 -11.315716
-585.415588 -14.161690 -20.364235
-586.617554 -16.255184 -30.068953
-588.953552 -18.153416 -39.756832
Custom
PathKill 69 35 35 1 1 1 "an obol muckling" "I have the viscous residue and arcane geodes that Galen requested" 1
-589.809143 -18.057983 -47.166161
-582.524170 -17.957764 -54.405029
-575.582825 -17.946259 -61.917507
-567.843811 -17.196161 -68.517982
-559.997192 -16.505997 -74.887024
-553.343140 -16.727571 -82.632645
-547.084045 -16.761782 -90.807602
-540.757263 -16.599342 -98.610703
-532.291992 -16.619534 -104.109627
-522.475159 -17.025032 -107.382332
-512.447815 -17.090492 -108.056549
-502.319366 -17.306252 -108.917595
-492.247009 -17.412277 -109.928665
-482.045685 -17.469282 -110.952675
-471.944641 -17.533686 -111.966614
-461.686096 -17.087959 -112.996399
-451.699799 -16.397257 -113.998863
-441.426941 -16.583235 -115.030792
-431.118866 -16.282768 -116.267807
-421.301422 -16.162277 -118.287910
-411.759766 -15.457685 -121.668144
-402.282410 -14.884435 -125.100929
-393.472656 -13.542555 -130.011444
-385.631226 -12.004192 -136.388168
-377.187897 -11.097724 -142.650131
-368.955017 -9.959729 -148.619232
-360.567810 -8.741743 -154.109344
-351.609436 -7.179694 -158.644379
-342.352417 -6.111823 -162.622696
-332.741180 -5.091672 -165.595657
-323.064117 -4.541563 -168.477188
-313.180817 -4.136710 -171.373642
-303.488037 -2.653292 -174.071213
-293.821777 -0.070808 -176.100601
-283.801483 1.149089 -176.702179
-273.415863 1.605774 -176.681763
-263.192871 2.178316 -176.543091
-253.237091 3.101023 -177.093155
-243.327774 4.069624 -179.272293
-233.723389 5.165341 -182.482239
-224.612488 6.157494 -186.934982
-216.404755 6.753926 -192.716431
-208.319748 7.489947 -199.173187
-200.771881 8.374164 -205.962234
-193.367172 9.056933 -213.089020
-186.556503 9.770600 -220.830856
-179.390808 10.076842 -228.047638
-171.924637 10.358231 -235.524017
-164.611237 10.402427 -242.510605
-156.961914 11.543989 -249.183151
-148.705368 11.191937 -255.624695
-140.095886 11.447417 -261.624512
-131.738373 12.154239 -267.759155
-123.238846 12.204616 -273.605591
-115.977242 11.757305 -280.757141
-111.102592 11.903441 -289.512451
-108.930534 11.883507 -299.495422
-106.169289 11.990178 -309.165253
-111.771896 10.937070 -317.684723
-117.924004 9.486247 -325.676910
-121.134117 9.122605 -335.255249
-118.332932 9.225378 -345.006348
-114.628433 9.472181 -354.512817
-111.826630 9.591738 -364.363129
-109.344223 9.573359 -374.243683
-106.925003 9.801508 -384.083466
-102.481041 9.143249 -393.476624
-97.524185 8.740160 -402.465210
-92.417770 8.782145 -411.289459
-91.162804 8.820094 -413.458099
-590.386841 -18.040747 -46.723850
-590.386841 -18.040747 -46.723850
-590.791443 -17.949814 -36.463684
-587.816711 -15.486677 -27.077261
-583.305481 -13.683387 -18.165518
-577.490356 -12.054351 -10.086878
-571.727661 -9.933966 -2.081280
-564.941101 -6.544237 5.176621
-555.308289 -4.072834 7.624197
-545.400330 -3.324200 6.448116
-535.222778 -1.503348 4.776774
-525.584351 1.222937 3.155247
-515.912231 4.214436 1.633703
-505.783539 6.994619 3.190077
-497.563965 9.370415 8.635635
-490.156372 10.738959 15.222587
-482.879211 10.077989 22.249434
-475.409637 9.733409 29.465731
-467.553040 10.916106 35.644775
-458.191467 12.886724 40.174961
-449.672333 14.018290 46.201691
-450.184753 13.895011 56.355328
-454.190308 15.168661 65.477982
-457.239349 15.263689 75.328239
Custom
HailActor "Galen Cadabrak" 5
-459.141510 15.168661 81.722412
-456.132660 15.263689 71.786194
-452.917389 15.309021 62.180660
-458.758759 14.397968 53.970768
-467.876129 13.667002 49.802280
-475.657135 13.703929 56.815014
-479.503998 14.077903 66.091217
Custom
UseItem "Cardin Guardian Stone"
-480.341797 14.392951 72.189423
Wait
20
-480.341797 14.392951 72.189423
Custom
ReplyDialog 1 1
-480.341797 14.392951 72.189423
-480.637085 13.795173 61.860268
-479.486816 13.081509 51.628979
-478.748840 11.626578 41.675270
-481.854523 9.341885 32.071674
-488.966278 9.609116 24.539070
Custom
UseItem "Cardin Guardian Stone"
-496.732697 10.185735 17.467627
Wait
20
-496.732697 10.185735 17.467627
Custom
ReplyDialog 1 1
-496.732697 10.185735 17.467627
-488.479065 9.659697 23.838604
-478.595245 9.418291 26.814619
-468.947235 9.667747 23.130793
-461.500031 8.990783 16.302610
-455.312714 9.160374 8.073396
-448.374756 9.115173 0.319929
-438.984070 8.849768 -3.656050
-428.797363 8.411867 -5.016696
-418.670319 9.448215 -5.391908
-408.075165 10.358683 -5.771889
-397.677856 11.469309 -6.144775
-387.640350 12.450031 -6.504759
-377.271423 12.363662 -7.028646
-366.889893 12.494591 -9.298656
-357.482300 12.465297 -13.786506
-351.002899 12.318820 -21.553629
-345.527710 11.724377 -30.269283
-343.327789 11.118849 -40.363087
-343.117828 10.293442 -50.691563
-343.099670 8.845003 -60.681549
-343.080322 8.453671 -70.923523
-342.501526 8.192518 -81.361748
-341.241272 8.664526 -91.686890
-339.161102 8.795308 -101.512543
Custom
UseItem "Cardin Guardian Stone"
-338.887146 8.905973 -102.772270
Wait
20
-338.887146 8.905973 -102.772270
Custom
ReplyDialog 1 1
-338.887146 8.905973 -102.772270
-340.609283 8.820914 -92.426468
-341.589447 8.340894 -81.941292
-342.458862 8.401046 -71.357246
-343.271454 8.810548 -61.364235
-344.121826 10.198436 -51.175735
-345.059998 10.952144 -40.958721
-346.086304 11.688869 -30.659765
-347.546326 12.373277 -20.602543
-349.889282 13.924655 -10.687777
-352.238098 14.664511 -0.866739
-353.768188 14.498799 9.040325
-351.936829 14.722920 18.913755
-353.924988 16.114717 28.749498
Custom
UseItem "Cardin Guardian Stone"
-354.512909 16.434462 30.931307
Wait
20
-354.512909 16.434462 30.931307
Custom
ReplyDialog 1 1
-354.512909 16.434462 30.931307
-354.694183 14.921220 20.871161
-356.477631 14.453534 11.012068
-362.852509 14.385158 2.826603
-372.148590 13.770216 -1.086720
-382.023834 13.252171 -2.704455
-392.152069 12.486899 -3.594448
-402.429108 11.348772 -4.219030
-412.385376 10.512800 -2.868565
-421.959686 9.807058 -0.030152
-427.372742 9.937298 8.784837
-431.758514 10.964012 17.820650
-436.120270 12.773374 26.839848
-440.681061 13.556593 36.137760
-445.391357 14.154993 45.271427
-449.340057 13.717102 54.506088
-452.939850 15.456732 63.747173
-455.827942 15.263689 73.383583
Custom
HailActor "Galen Cadabrak" 1
-458.712097 15.168660 81.600700
