Three per Foot
-833.812256 -101.826988 -453.770416
-824.287170 -102.328796 -449.988007
-814.801392 -101.353104 -446.598389
-805.260376 -100.772057 -443.147858
-795.825195 -100.342705 -439.724579
-786.338745 -101.194496 -436.282654
-776.998718 -102.530785 -432.770325
-768.814819 -102.495049 -426.888245
-762.092590 -101.758064 -419.455444
-757.833252 -100.406677 -410.363251
-754.235901 -98.740631 -400.993988
-750.504639 -96.963036 -391.848358
-742.437439 -96.224930 -385.918915
-733.689331 -95.635597 -380.840424
-724.821594 -95.096718 -375.692566
-715.858582 -94.449982 -370.489563
-706.958252 -93.842743 -365.322998
-698.277710 -93.361984 -360.284027
-689.565857 -92.221107 -355.226807
-680.901001 -90.636841 -350.196930
-672.141907 -89.483757 -345.112366
-663.398560 -88.332756 -340.036926
-654.381836 -87.282112 -335.594879
-644.656494 -86.390129 -332.642029
-635.152527 -85.578239 -329.186829
-625.450317 -84.528793 -326.345551
-615.859009 -83.258209 -323.321777
-606.798950 -81.870697 -318.809601
-597.673401 -82.568878 -322.888702
-590.498901 -83.806511 -330.019440
-586.564514 -85.211151 -339.150360
-582.796631 -86.670273 -348.648621
-579.102173 -87.893028 -357.961365
-575.408081 -88.964722 -367.274048
-571.734131 -89.863441 -376.536163
-568.175232 -90.713554 -385.896362
-568.729919 -92.351814 -395.966217
-571.349182 -94.137543 -405.727814
-574.145630 -95.874123 -415.272858
-575.557800 -97.193718 -425.202484
-573.830811 -97.882965 -435.182068
-568.613098 -97.667221 -443.735504
-561.736267 -96.997391 -451.208099
-554.196472 -96.473198 -458.077911
-546.530579 -97.484245 -464.834412
-540.924255 -98.335220 -469.837280
-888.573303 -114.979797 -767.620544
-888.573303 -114.979797 -767.620544
-896.772400 -114.563019 -775.523865
-903.974487 -114.187737 -782.466125
-911.403992 -113.740082 -789.638672
-916.285400 -112.208435 -798.248169
-919.065186 -109.938553 -807.676270
-921.376099 -107.475784 -817.331543
-923.359192 -104.940948 -826.909668
-925.115662 -102.767784 -836.699463
-926.868958 -100.677872 -846.471436
-928.638062 -99.534729 -856.332703
-930.003479 -98.220840 -866.510254
-930.150818 -96.690277 -876.670288
-930.014587 -95.703026 -886.633545
-929.706177 -94.679367 -896.791321
-929.082703 -93.482796 -906.808960
-928.485291 -92.044212 -916.791565
-928.187378 -90.533318 -926.914978
-927.906799 -88.874733 -936.857239
-927.620483 -86.791077 -946.999146
-927.188049 -83.664787 -956.771606
-926.610107 -81.842575 -966.828186
-925.914368 -80.374672 -976.859192
-925.414856 -78.557854 -986.918579
-927.339600 -76.104645 -996.647461
-932.566406 -75.161400 -1005.260254
-942.479431 -74.445999 -1003.849670
-947.760986 -72.216850 -995.633301
-946.866882 -71.240005 -985.498108
-956.228943 -69.630104 -981.811829
-966.171814 -68.244850 -983.820007
Custom
HailActor "Diviner De'Voch" 2
-977.113892 -67.809181 -985.745728
