Mystery at the Battlement
Custom
HailActor "Warlord Sel'Nok" 5
277.415070 -29.276733 -183.833893
276.584808 -28.517136 -193.821182
268.206207 -29.620308 -199.558929
258.639252 -31.508162 -202.879303
249.862595 -32.925774 -207.625259
240.945480 -33.334473 -212.615189
232.437698 -32.346436 -217.823349
224.435181 -31.797470 -223.908844
222.443710 -32.385765 -233.753342
227.049088 -32.623863 -242.638077
234.360870 -32.880424 -249.838516
242.458664 -32.341671 -255.917130
252.510941 -31.077482 -254.355270
260.382172 -29.165936 -248.178436
263.508270 -28.348719 -245.725113
102.200798 -32.849972 21.096312
102.200798 -32.849972 21.096312
69.477478 2.632261 7.259744
36.147358 37.187065 -7.112872
2.841558 71.716675 -21.474983
-36.946041 96.575577 -38.767097
-81.661407 94.114586 -61.026344
-119.319519 91.645020 -94.173355
-157.340073 89.179932 -126.792686
-195.403336 86.712082 -159.448654
-233.310272 84.254326 -191.970337
-271.302582 81.791031 -224.565170
-309.323425 79.325905 -257.184418
-347.273224 76.865349 -289.742737
-385.308075 74.399261 -322.374176
-423.385681 71.930435 -355.042450
-461.363953 69.468018 -387.625275
-499.611725 66.988152 -420.439484
-537.561829 64.527641 -452.997803
-575.668701 62.057022 -485.690247
-611.690552 55.445145 -519.999268
-647.694336 42.959721 -552.698792
-683.765381 30.450979 -585.459473
-719.715332 17.984262 -618.110352
-755.678894 5.512879 -650.773132
-791.641968 -6.958517 -683.435425
-827.659180 -19.448553 -716.146912
-863.085327 -32.522896 -749.341675
-893.046204 -51.733223 -784.675476
-916.922302 -68.067116 -825.664612
-929.396484 -82.253143 -872.189392
Custom
FlyDown
-929.338501 -84.377014 -880.335632
-929.441956 -96.168129 -880.311157
-929.328979 -95.141136 -890.460083
-929.168030 -94.105820 -900.489746
-928.668396 -92.976936 -910.513916
-928.170349 -91.456604 -920.411499
-927.669617 -89.889259 -930.363464
-927.158752 -88.099548 -940.514832
-926.668945 -85.551048 -950.249268
-926.165527 -82.712669 -959.964722
-925.422241 -81.382416 -969.882751
-924.658569 -79.487503 -979.925354
-926.239563 -78.216896 -989.783203
-929.797791 -75.274567 -998.817810
-932.473572 -75.124046 -1005.698608
-941.209412 -74.409531 -1000.390198
-948.277649 -72.248573 -996.343140
-947.757568 -71.219658 -986.191589
-947.615417 -70.885712 -982.092651
-957.765259 -69.585167 -983.568176
-967.714722 -68.235519 -984.830017
-977.925232 -67.784500 -984.218323
-987.562378 -66.963104 -981.562500
Custom
HailActor "Warlord Sel'Nok" 3
-994.332764 -67.752754 -979.704041
