Rise of Thrael'Gorr
-374.995819 -373.096527 3011.904785
-378.595459 -373.762482 3021.376709
-383.878448 -374.476685 3029.930176
-390.941833 -375.355988 3037.492920
-393.961243 -375.541412 3039.505371
35.579720 -300.570740 3485.717041
35.579720 -300.570740 3485.717041
42.164177 -254.259155 3467.873779
54.963112 -220.505386 3432.968506
72.000320 -218.940201 3385.536865
85.199203 -187.639557 3348.792725
97.190376 -152.147812 3315.409912
110.538742 -121.047142 3278.249512
126.609543 -104.713753 3233.507813
143.528198 -103.159447 3186.403809
161.234024 -91.411758 3141.034668
179.527222 -78.261742 3096.343506
198.546967 -76.702591 3049.876465
217.544647 -75.145218 3003.462646
236.564453 -73.586029 2956.995605
255.532547 -72.031067 2910.655273
274.522949 -70.474289 2864.259277
293.491272 -68.919327 2817.917236
312.437042 -58.469204 2772.650879
331.231262 -52.431683 2726.636475
349.639282 -53.806969 2679.961182
Custom
FlyDown
362.876526 -60.457253 2641.077881
Custom
HailActor "Chief Thrael'Gorr" 2
362.875183 -61.790443 2641.076660
