Within Our Reach
782.317505 -21.957697 -509.095673
776.424438 -21.799089 -500.804962
769.403870 -21.799089 -493.441620
762.013977 -21.799099 -486.608521
754.332092 -21.829592 -480.153717
745.807129 -22.311800 -474.531708
736.944641 -22.311800 -469.422150
728.205566 -22.070349 -464.428619
719.723572 -21.292770 -459.063019
712.559326 -20.717718 -451.776245
707.438599 -18.099388 -443.103119
703.891235 -15.926417 -433.952789
700.812256 -16.086475 -424.422394
697.736938 -14.552523 -414.873535
692.699097 -13.374764 -406.112152
684.071533 -11.797686 -401.071747
674.240417 -11.041667 -398.936279
664.064636 -10.809412 -398.114746
656.154114 -10.475516 -391.897186
Custom
HailActor Tairiel 2
656.093384 -10.478685 -391.644043
