Paid on Delivery
22.571302 -16.950827 -26.482588
13.392365 -15.821535 -30.333460
4.025505 -15.010793 -33.755569
-6.218775 -14.372133 -35.350796
-16.469090 -14.371512 -35.589844
-26.782969 -14.658145 -35.810818
-36.939381 -15.069153 -36.028404
-47.253273 -15.264743 -36.249367
-57.346710 -15.645690 -36.465603
-67.404663 -15.694269 -36.189507
-77.417526 -15.459513 -35.557941
-87.398956 -14.577654 -34.928360
-97.474678 -14.554963 -34.292828
-107.770470 -14.564319 -33.643414
-117.845490 -14.583334 -32.997070
-127.929237 -14.644190 -31.805367
-137.726379 -14.880795 -29.795702
-147.521042 -15.037672 -27.773586
-157.408249 -15.021100 -25.732367
-167.493668 -14.784761 -23.639044
-177.235031 -14.374933 -20.376455
-186.610870 -13.552437 -16.718073
-196.089371 -12.633913 -13.019617
-205.538513 -11.896195 -9.332609
-215.046387 -11.613180 -5.622700
-224.598267 -11.885599 -1.895616
-233.959351 -12.529126 1.757041
-243.540527 -12.955608 5.495575
-252.901657 -13.523829 9.148232
-262.409515 -14.077438 12.858140
-271.814636 -14.334141 16.527967
-281.219757 -14.370196 20.197800
-290.830353 -14.059009 23.947779
-300.485657 -14.370195 27.177200
-310.323212 -14.057216 29.645439
-320.160400 -14.057215 31.770901
-330.201965 -14.057216 33.919407
-340.074188 -14.057216 36.031662
-349.977203 -14.057216 38.150513
-359.880157 -14.057140 40.269352
-369.968048 -13.993711 42.628235
-379.587677 -13.956257 45.890244
-389.171539 -13.897903 49.259274
-398.695892 -13.902959 52.607407
-408.413513 -13.968227 56.023453
-418.169342 -13.980938 59.472618
-427.060242 -14.101882 64.654785
-435.256195 -14.055292 70.603416
-443.393524 -14.054368 76.525650
-451.518127 -14.056911 82.438614
-459.846497 -14.327951 88.499855
-467.996674 -14.921911 94.431335
-476.083069 -15.299605 100.316467
-484.182281 -15.998104 106.210884
-492.446930 -16.276394 112.225807
-500.737091 -16.207067 118.259262
-508.874451 -16.012104 124.181496
-517.156372 -15.798511 130.199493
-525.642151 -15.710840 135.570007
-534.639771 -15.670812 140.066589
-543.849182 -15.590600 143.966293
-553.276123 -15.754172 147.957993
-562.617737 -15.057343 151.868759
-571.815369 -14.794959 156.521133
-580.446106 -14.595269 162.282333
-589.034607 -14.789166 168.277084
-597.583435 -16.487362 173.538223
-607.079468 -17.794743 177.515121
-616.726257 -17.818220 181.033142
-626.626282 -17.529274 183.929672
-636.347168 -16.993708 186.655090
-646.112915 -16.506336 189.813904
-655.606384 -15.907196 193.560211
-665.021240 -15.787639 197.499466
-674.276245 -16.671356 201.412979
-683.560059 -16.601795 205.338760
-693.018066 -16.585880 209.338150
-702.290405 -16.267727 213.250885
-711.572876 -16.249617 217.417023
-720.773804 -16.247631 221.608856
Custom
HailActor Helver 6
-721.995178 -16.247341 222.141479
-712.538147 -16.249352 218.115051
-703.201172 -16.251217 214.139725
-693.868896 -16.570324 210.166458
-684.362732 -16.586422 206.119095
-675.015930 -16.577948 202.139572
-665.582336 -15.821858 198.123062
-656.366028 -15.850939 194.199081
-647.095520 -16.450478 190.450150
-637.638489 -16.962688 186.780533
-628.014343 -17.346792 183.124222
-618.414795 -17.354630 179.477280
-608.918213 -17.276424 175.869431
-599.194336 -16.348068 172.423889
-589.800842 -14.918001 168.855240
-580.251953 -14.588620 165.079330
-570.943726 -14.454094 160.710403
-562.199768 -14.572016 155.794479
-553.590454 -15.420878 150.552063
-544.913879 -15.612716 145.268692
-534.268372 -15.683060 138.786163
-525.723083 -15.728159 133.582962
-517.070374 -15.891142 128.314255
-508.474335 -16.100384 123.080154
-499.662872 -16.219738 117.714890
-490.999329 -16.133068 112.439713
-482.295471 -15.711637 107.139969
-473.632019 -15.254150 101.864807
-464.955078 -14.570431 96.581459
-456.305084 -14.322575 91.314484
-447.668457 -14.134451 86.055695
-438.924316 -14.086910 80.731400
-430.341614 -14.048886 75.505409
-421.637817 -13.811557 70.205673
-413.014740 -13.788762 64.955116
-404.378143 -13.994956 59.696320
-395.822357 -13.798082 54.486679
-387.078186 -13.881751 49.162361
-377.384369 -13.947476 46.122288
-367.555267 -14.005930 44.274529
-357.648804 -14.206859 42.412022
-347.603088 -14.370195 40.523315
-337.582031 -14.057216 38.431183
-327.494202 -14.057216 36.271763
-317.452728 -14.057216 34.122238
-307.441925 -14.057216 31.979303
-297.508209 -14.328627 29.852852
-287.528229 -14.057208 27.716509
-277.163269 -14.320081 25.497746
-267.337341 -14.056942 23.394369
-257.488098 -14.003610 20.794670
-248.386215 -13.603638 16.142780
-239.452560 -12.865914 11.211507
-230.615448 -12.156555 6.201053
-221.737274 -11.652737 1.167306
-212.790512 -11.567384 -3.905281
-203.967102 -11.936692 -8.907955
-194.979309 -12.744496 -14.003841
-186.142212 -13.612164 -19.014280
-177.264008 -14.340598 -24.048023
-168.536469 -14.288680 -28.996323
-159.617126 -14.524661 -34.053371
-150.793732 -14.456318 -39.056038
-141.997711 -14.384024 -44.043175
-133.256500 -14.453651 -48.999241
-124.337128 -14.607190 -54.056290
-115.541039 -14.694254 -59.043430
-106.200256 -14.744415 -63.181942
-96.121483 -14.779875 -64.475555
-85.845589 -14.834140 -65.385071
-75.674774 -15.089505 -66.013947
-65.692581 -15.024349 -66.630920
-55.521759 -14.679164 -67.259575
-45.476685 -14.451808 -67.880440
-35.227257 -14.234792 -68.513931
-25.134703 -14.129456 -68.667244
-15.533430 -14.058545 -64.903236
-6.043122 -14.119120 -61.106098
3.315579 -14.256680 -57.361633
12.849757 -14.403081 -53.546944
22.252333 -15.633987 -49.784912
31.728016 -17.144484 -45.993633
41.174446 -18.612213 -42.214050
50.518528 -18.916304 -38.475441
60.125809 -19.372637 -34.631504
69.616142 -19.970795 -30.834379
79.223457 -20.650562 -26.990446
88.757683 -20.563005 -23.175766
98.964813 -20.563005 -21.335136
108.964668 -20.763525 -21.166090
118.996010 -21.134771 -20.996943
129.074600 -21.163240 -20.827003
139.090195 -21.058184 -20.658125
149.358795 -21.183121 -20.586470
159.564728 -21.153193 -20.556755
169.597427 -21.123770 -20.527538
179.819138 -20.686663 -20.497770
Custom
ZoneDoor "zone_to_qey_north"
185.158447 -20.686663 -20.494411
239.360977 -21.490330 -18.850468
249.367020 -21.408201 -20.627567
259.015900 -21.336920 -23.435760
266.096039 -21.106054 -30.494667
262.497437 -20.973831 -39.882664
261.380890 -20.977400 -50.116005
262.750671 -20.286039 -60.129959
264.516937 -19.753967 -70.309799
267.122131 -19.046070 -80.034973
272.040527 -18.688667 -88.754921
278.074768 -18.797579 -96.729996
283.628113 -18.728592 -105.323143
287.343719 -17.952372 -114.650833
ClickActor
door_widget10
284.386932 -17.949781 -116.776550
Wait
20
284.386932 -17.949781 -116.776550
280.176605 -17.946672 -118.950241
Custom
HailActor Feld 7
276.865326 -17.946672 -116.166016
ClickActor
door_widget10
282.350006 -17.946672 -117.309509
Wait
20
282.350006 -17.946672 -117.309509
288.440125 -18.173664 -115.829353
298.371307 -19.594955 -113.917778
308.206451 -21.137115 -115.794861
317.570557 -22.466595 -119.112679
325.571106 -23.425827 -125.784843
331.045380 -23.579882 -134.267227
336.492645 -23.750731 -142.823425
341.931366 -24.226854 -151.366348
347.453705 -24.692497 -159.703583
353.447174 -25.138800 -168.176849
360.292328 -25.326714 -175.579437
368.077789 -25.178173 -182.371628
375.929474 -24.920040 -189.087479
383.636139 -24.471642 -195.729904
391.046448 -23.885370 -202.724579
398.469513 -23.232157 -209.774811
405.869659 -23.003635 -216.803345
413.235626 -22.710573 -223.799377
420.681458 -22.241562 -230.871368
427.944489 -21.828154 -237.769821
435.277679 -21.370029 -244.731583
443.114594 -20.844448 -251.215195
451.201935 -20.339306 -257.251709
459.903778 -19.953083 -262.729828
468.675293 -19.805620 -267.885040
477.517181 -19.779739 -272.886230
486.500488 -20.037849 -277.526855
495.575531 -20.531673 -281.766602
Custom
ZoneDoor "zone_to_qey_elddar"
507.686127 -21.318602 -285.620667
518.944641 -20.547562 -285.023132
528.022400 -20.600830 -289.445740
535.552490 -20.745670 -296.064911
543.064087 -21.023821 -302.997009
550.968750 -21.402683 -309.463837
560.768677 -21.858036 -312.001465
570.930847 -21.680256 -312.705719
580.999939 -21.383009 -314.370026
590.875061 -21.152792 -316.049164
600.979004 -20.623970 -317.696777
610.925049 -19.722214 -319.334320
620.787964 -18.300299 -321.747559
629.969727 -16.995770 -325.933929
638.606689 -16.283772 -330.959137
642.397888 -15.232225 -340.295746
645.262695 -13.962974 -350.080292
647.919312 -13.137733 -359.810638
649.709839 -11.701170 -369.922424
651.453796 -10.470141 -379.802429
653.588135 -10.830694 -389.713867
657.055908 -10.845873 -399.208862
666.689026 -10.458112 -402.239044
676.914917 -11.020679 -403.301270
686.876953 -12.153106 -404.975739
696.347534 -13.823666 -407.757904
700.940674 -15.302218 -416.771271
702.118042 -16.716085 -426.681335
705.235596 -16.081570 -436.292389
708.534485 -19.395317 -445.180817
712.844299 -20.846003 -454.326752
720.505493 -21.514385 -460.983246
729.331726 -22.134182 -465.948486
738.098328 -22.311800 -470.858856
746.824036 -22.311611 -475.746033
755.257935 -21.822203 -481.160736
763.219666 -21.799089 -487.764618
770.611572 -21.799089 -494.616150
777.321350 -21.799089 -502.109589
783.586182 -22.278366 -510.295410
787.193665 -22.960970 -519.772522
787.388611 -22.564064 -529.786133
Custom
HailActor Rinna 7
787.033020 -21.984268 -535.965149
787.692871 -22.840797 -525.864136
785.229797 -22.860735 -516.063904
781.203552 -21.964460 -506.778046
775.644897 -21.799089 -498.414429
768.622620 -21.799089 -491.203522
760.865723 -21.799091 -484.450348
753.066467 -21.939722 -478.029785
744.244629 -22.311800 -473.062134
735.301025 -22.311800 -468.244202
726.455627 -21.935097 -463.443939
718.266235 -21.099171 -457.600067
711.808167 -20.576254 -449.925171
706.838318 -17.450272 -441.731262
703.019775 -15.965275 -432.569794
700.194885 -15.703400 -422.975800
697.352661 -14.359474 -413.304840
693.215332 -13.424026 -403.963318
687.426208 -12.397550 -395.527039
680.686646 -11.394120 -387.766174
673.233765 -10.184469 -381.013214
664.964966 -9.690576 -375.279358
657.327820 -10.738346 -368.563599
648.138733 -12.761645 -364.478668
637.880371 -13.305827 -364.891052
627.913208 -14.353418 -365.470428
618.033386 -16.949629 -365.912689
608.080994 -18.784935 -365.857788
598.070435 -20.372715 -364.860321
588.298584 -21.551977 -362.662964
578.583252 -21.880865 -359.879517
569.181885 -21.873501 -356.338867
560.224182 -20.666159 -351.563477
553.282471 -20.452711 -344.249969
546.884766 -20.719578 -336.420105
540.580566 -20.997555 -328.635925
534.944702 -21.116217 -320.103302
530.728271 -21.023029 -310.826477
526.508728 -20.831766 -301.515991
521.243347 -20.764290 -292.715302
512.604126 -20.823385 -287.425995
Custom
ZoneDoor "zone_to_qey_north"
509.513580 -20.950212 -287.035675
495.018768 -20.447742 -279.436615
486.332733 -19.900450 -274.245514
477.209991 -19.646338 -270.035126
468.148865 -19.743019 -265.521057
459.241089 -19.906345 -260.673737
450.704224 -20.341223 -255.313736
441.927307 -20.927874 -249.803024
433.363708 -21.486439 -244.426254
424.895081 -21.986074 -239.048996
417.431458 -22.388914 -232.085205
410.811676 -22.657097 -224.588333
404.143951 -22.893049 -217.028778
397.486633 -23.219542 -209.481018
390.688324 -23.954885 -201.954849
383.352203 -24.511190 -195.066666
375.943939 -24.937435 -188.207901
368.535706 -25.103157 -181.349121
361.016418 -25.099173 -174.387589
353.674438 -25.092108 -167.590118
346.305725 -24.697397 -160.389816
340.895477 -24.221748 -151.820114
336.275421 -23.739605 -142.667130
331.931732 -23.606821 -133.606018
327.529236 -23.615694 -124.380867
323.208160 -23.623379 -115.326332
318.771790 -23.355335 -106.030159
314.430511 -23.006540 -96.777290
311.289917 -22.488342 -86.953995
308.528595 -22.044344 -77.096123
306.075684 -21.731634 -66.950249
305.166687 -21.438999 -56.673813
307.780273 -21.148176 -46.832279
312.164215 -21.385296 -37.844971
316.453644 -21.393480 -28.745262
318.829742 -21.215857 -18.919386
315.355103 -21.207659 -9.504408
309.242065 -21.098824 -1.372205
306.377869 -21.261250 8.295424
309.089813 -21.385359 18.051584
314.622681 -21.501171 26.505852
321.489960 -21.798141 34.021927
328.797729 -21.781462 41.010727
336.211273 -21.433489 48.338383
342.098785 -21.396736 56.440250
346.756104 -21.558218 65.341873
351.298340 -21.200243 74.428589
355.917999 -20.895794 83.670280
360.731567 -20.733099 92.645752
366.170013 -20.850758 101.076241
371.879669 -20.657328 109.287094
377.911621 -20.611876 117.382355
384.119476 -21.083948 125.562508
390.124695 -21.312382 133.775421
395.982086 -20.893101 141.920776
Wait
20
395.982086 -20.893101 141.920776
Wait
20
407.668213 -20.833395 140.335037
Wait
20
405.554230 -20.939068 154.711517
413.003662 -20.948790 161.580917
420.591064 -20.931534 168.577530
428.327271 -20.873903 175.196884
437.905518 -20.564135 178.192169
447.712616 -20.441381 181.129456
456.950562 -20.520927 185.367950
465.630890 -20.818291 190.849152
474.798035 -21.110153 195.510178
484.164185 -19.341101 199.903183
493.951721 -16.858614 202.814270
503.973633 -15.704230 204.567886
513.956421 -15.613920 206.272690
524.216614 -15.610055 207.833466
534.700806 -15.419483 208.468170
544.833618 -15.418974 208.923065
554.941162 -15.422216 208.767944
565.045776 -15.439365 208.032944
Custom
HailActor Laventy 5
569.272644 -15.553020 203.534729
560.253906 -15.427500 208.128235
550.092102 -15.411772 209.634720
539.596191 -15.387427 210.077164
529.476624 -15.384036 210.377335
519.412354 -15.422487 208.907486
509.640991 -15.570889 206.513092
499.786041 -16.024059 203.861450
490.156891 -17.659527 201.108963
481.099457 -20.094181 197.475174
472.065216 -20.909781 192.563950
463.155975 -20.689581 187.489166
454.301453 -20.504805 182.445526
445.337280 -20.459528 177.339523
436.213623 -20.683146 172.922607
426.942383 -20.875425 169.131378
418.270721 -20.931896 163.555695
410.607666 -20.941908 157.108627
403.113281 -20.830793 150.488770
Wait
20
402.857361 -20.834038 150.255157
Wait
20
393.144073 -20.824677 150.982239
Wait
20
394.018646 -21.068161 138.603867
387.937988 -21.259041 130.303314
381.799164 -20.912291 122.262001
375.536346 -20.509197 114.064514
369.483093 -20.785343 106.103172
363.303497 -20.797987 97.862267
357.329865 -20.762009 89.346878
352.646057 -21.037964 80.289719
348.849365 -21.417883 71.021217
344.883606 -21.488157 61.687912
339.795471 -21.349829 52.876709
333.281250 -21.597040 45.189434
326.651001 -21.766443 37.618114
320.031128 -21.513245 30.058638
313.271332 -21.357965 22.391758
305.837982 -21.496252 15.381505
298.336609 -21.337515 8.624748
290.858704 -21.310801 1.889074
283.205139 -21.124769 -5.004712
275.606537 -21.383163 -12.295774
269.324127 -21.565123 -20.426235
264.309235 -21.137114 -29.124949
261.318726 -20.984056 -38.948242
260.185364 -20.945328 -49.321918
260.000458 -20.276054 -59.317112
261.932648 -19.644133 -69.234886
264.668976 -19.051298 -79.011734
269.456116 -18.686344 -87.970657
276.052460 -18.745998 -95.707291
283.299683 -18.823107 -103.071220
289.857483 -18.884008 -110.666054
ClickActor
door_widget10
284.019379 -17.910625 -116.872528
Wait
20
284.019379 -17.910625 -116.872528
280.455261 -17.946672 -117.789864
Custom
HailActor Feld 10
277.068359 -17.946672 -116.234657
ClickActor
door_widget10
282.249481 -17.946672 -117.474518
Wait
20
282.249481 -17.946672 -117.474518
287.675354 -17.957363 -116.190865
293.908325 -18.987846 -113.053070
286.899170 -18.820358 -105.660675
280.272156 -18.821754 -98.010193
273.232971 -18.636705 -90.576950
267.630035 -18.902412 -82.126732
264.120758 -19.506401 -72.644638
260.481018 -20.037182 -63.126652
256.839478 -20.577482 -53.626160
253.180969 -20.811403 -44.081554
249.539383 -20.850275 -34.581078
245.011719 -21.411278 -25.561392
236.631409 -21.560831 -19.979414
Custom
ZoneDoor "zone_to_antonica"
224.727509 -21.831560 -20.372103
163.898819 -21.140480 -18.421980
153.757614 -21.170223 -19.100515
143.718994 -21.229580 -19.121531
133.481720 -21.175688 -19.083431
123.369385 -21.147125 -19.045797
113.316452 -21.118731 -19.013752
103.219170 -20.563005 -19.929934
93.296661 -20.563005 -21.586582
83.518181 -21.031279 -23.660763
73.680847 -20.403347 -26.274986
64.025978 -19.786194 -28.868690
54.291199 -19.244781 -31.483868
44.373840 -18.790607 -34.148090
34.636761 -18.123795 -36.974804
25.291838 -16.221478 -40.537605
15.544497 -15.076576 -43.370472
5.561132 -14.745018 -45.333332
-4.469067 -14.371703 -47.302910
-14.346642 -14.372295 -48.866688
-24.499748 -14.548419 -50.405106
-34.635292 -14.708165 -51.546234
-44.683521 -14.763978 -52.114193
-54.951893 -15.281207 -52.694595
-65.063011 -14.831488 -53.266109
-75.189857 -14.893744 -53.838512
-85.316177 -14.418400 -54.419666
-95.188324 -14.387337 -56.135757
-105.021416 -14.387187 -58.621048
-114.425110 -14.879771 -62.443531
-123.269531 -15.241137 -67.656738
-132.187347 -15.302047 -72.587532
Wait
50
-136.200729 -14.834297 -74.842003
-137.727158 -15.234425 -64.789711
-140.678589 -14.951756 -54.912540
-146.715225 -14.701712 -46.567390
-154.748642 -14.539137 -40.252171
-163.396027 -14.864675 -35.042542
-172.229919 -14.606599 -29.806509
-180.860565 -14.151396 -24.690928
-189.464157 -13.314143 -19.591412
-198.230331 -12.401345 -14.395525
-207.064255 -11.833225 -9.159479
-215.830429 -11.521725 -3.963590
-224.589417 -11.775333 1.213316
-233.638397 -12.352488 5.571922
-243.052261 -13.083452 9.634927
-252.383240 -13.720797 13.651660
-261.852600 -14.044633 17.362425
-271.510925 -14.057079 20.768175
-281.020599 -14.370196 24.121510
-290.640839 -14.057208 27.430258
-300.269897 -14.370196 30.189180
-309.974396 -14.057215 32.887421
-319.855896 -14.057215 35.166031
-329.929565 -14.057216 36.986984
-339.834045 -14.068251 38.772243
-349.815857 -14.370196 40.571487
-359.797760 -14.057103 42.370716
-369.702271 -13.980755 44.155979
-379.447052 -13.944947 46.420197
-389.120636 -13.897567 49.253483
-398.898315 -13.912037 52.174759
-408.032715 -13.938897 56.752125
-416.759033 -13.866886 61.860661
-425.526031 -13.995575 66.992989
-434.347412 -14.053927 72.157112
-443.005676 -14.053974 77.225746
-451.731812 -14.056965 82.334167
-460.525970 -14.430313 87.482391
-469.347260 -14.839272 92.646530
-478.155029 -14.788587 97.802704
-486.976349 -15.054831 102.966835
-495.634583 -15.625481 108.035477
-504.388000 -15.837773 113.159821
-513.222656 -16.115574 117.928802
-522.241699 -15.818439 122.602440
-531.191284 -15.750811 127.239983
-540.196899 -16.010101 131.906570
-549.258606 -15.878237 136.602112
-558.348206 -15.882060 141.312164
-567.423706 -16.097652 146.014969
-576.499268 -15.363908 150.717804
-585.507263 -15.140606 155.379761
-594.903137 -14.845204 159.435226
-604.991638 -14.782207 160.680695
-615.150208 -15.339994 160.745575
-625.340637 -15.617816 160.810623
-635.405090 -15.492584 160.874908
-645.087219 -15.398355 163.690872
-652.842407 -15.423084 170.083908
-659.107056 -15.906615 178.080536
-665.303528 -16.458143 186.050980
-671.806091 -16.396711 193.670410
-680.394165 -16.618954 199.198395
-689.437866 -16.585979 203.685684
-698.320862 -16.464071 208.347183
-707.244324 -16.271740 213.266830
-716.171692 -16.249208 218.309067
Custom
HailActor Helver 4
-722.467346 -16.247347 222.057953
-714.064209 -16.249996 216.608353
-705.153381 -16.305843 211.757477
-696.008240 -16.585869 207.265060
-686.614075 -16.592918 203.316467
-677.168396 -16.501225 199.369019
-667.939270 -15.918736 195.557724
-658.382385 -15.741425 192.160355
-648.922363 -16.358150 188.819351
-639.373047 -17.079220 185.446930
-629.705139 -17.104595 182.032516
-620.230286 -17.006023 178.686340
-610.785339 -17.069567 175.350616
-601.191772 -16.321110 171.962509
-591.644287 -15.105014 168.586029
-582.096863 -14.584458 164.893387
-572.749451 -14.502119 160.837784
-563.824036 -14.506313 156.224869
-555.002869 -15.345114 151.217957
-546.301086 -15.640307 146.255829
-537.495483 -15.662642 141.234467
-528.790710 -15.699404 136.270554
-520.119202 -15.793147 130.898346
-511.648865 -15.971358 125.463112
-503.178406 -16.142391 120.027847
-494.575470 -16.234854 114.507538
-486.091797 -15.918562 109.063789
-477.475586 -15.449392 103.534973
-468.938904 -14.925039 98.057190
-460.402222 -14.327711 92.579414
-451.786041 -14.057340 87.050598
-443.355408 -14.054933 81.640869
-434.831970 -14.043782 76.171593
-426.242279 -13.949726 70.659798
-417.612885 -13.813330 65.122482
-409.195557 -13.833752 59.721268
-400.312408 -13.889081 54.878857
-390.713745 -13.818769 51.578873
-380.633118 -13.813010 49.846352
-370.874634 -13.934266 47.274876
-361.035492 -14.181253 44.563805
-351.378510 -14.370196 41.902935
-341.630463 -14.189718 39.216961
-331.776031 -14.057216 36.501705
-322.088623 -14.057215 33.832470
-312.340393 -14.057215 31.146517
-302.576965 -14.318049 28.456373
-292.798431 -14.057208 25.762053
-283.099579 -14.370196 23.074930
-273.549713 -14.056742 19.620993
-264.221802 -14.121471 16.013588
-254.835098 -13.948040 12.383464
-245.404266 -13.407749 8.736298
-235.914703 -12.590424 5.066402
-226.381104 -11.874283 1.379463
-216.967087 -11.500588 -2.596280
-207.939255 -11.748596 -7.007905
-198.957581 -12.301254 -11.478207
-189.834900 -13.302175 -16.018686
-180.796829 -14.138201 -20.517050
-171.688263 -14.363079 -25.050507
-162.565582 -14.260166 -29.590981
-153.414703 -14.300629 -34.145496
-144.249725 -14.226769 -38.707047
-135.211609 -14.396938 -43.205441
-126.201706 -14.418112 -47.689793
-117.064796 -14.444633 -52.237312
-108.040718 -14.389913 -56.728687
-98.733253 -14.570204 -60.735981
-88.715919 -14.614792 -63.053066
-78.685890 -15.004866 -64.664848
-68.578148 -15.102456 -66.180176
-58.501305 -14.686261 -67.184563
-48.418694 -14.598990 -68.134422
-38.209023 -14.222518 -67.672470
-28.373632 -14.147318 -65.049858
-18.784870 -14.332559 -61.694885
-9.270449 -14.075645 -58.365932
0.422376 -14.181191 -54.974560
10.144933 -14.341957 -51.572796
19.793152 -15.326889 -48.197037
29.396778 -16.843271 -44.836872
38.940933 -18.471962 -41.497505
48.455360 -18.857819 -38.168541
58.177906 -19.267908 -34.766781
67.826134 -19.854738 -31.391016
77.385201 -20.499212 -28.046429
87.146759 -20.563005 -24.767946
97.260681 -20.563005 -23.144224
107.446396 -20.563005 -22.619865
117.447670 -21.130398 -22.611862
127.732452 -21.159447 -22.603634
137.749466 -21.187740 -22.595612
147.845200 -21.187559 -22.587526
158.114166 -21.157444 -22.579304
168.257111 -21.127697 -22.588074
178.367447 -20.686665 -22.739891
Custom
ZoneDoor "zone_to_qey_north"
186.414490 -20.686663 -22.879126
233.845062 -21.625183 -19.725170
243.502716 -21.434919 -22.536926
253.103592 -21.306961 -25.332157
262.774445 -21.183195 -28.174341
272.308990 -21.202541 -32.031357
281.249298 -21.017675 -36.584099
290.217590 -21.045841 -41.151154
298.738586 -21.117453 -46.702663
304.658783 -21.388525 -55.224552
307.359314 -21.688416 -65.126373
309.444550 -21.961817 -74.988312
311.529816 -22.333969 -84.850281
314.039673 -22.907661 -94.673759
317.536743 -23.298681 -104.141258
321.681458 -23.564716 -113.448692
326.011597 -23.599955 -122.481407
330.379700 -23.593401 -131.565796
334.789337 -23.626280 -140.735046
339.628815 -24.102064 -149.592697
345.410156 -24.581823 -157.995239
352.455902 -24.981798 -165.443970
359.501709 -25.040894 -172.892731
366.884949 -25.117743 -179.696182
374.561707 -24.986868 -186.373535
382.058380 -24.636892 -193.244507
389.257324 -24.070419 -200.456726
396.445129 -23.463005 -207.657776
403.566101 -23.069517 -214.791916
410.698242 -22.796610 -221.937225
417.830414 -22.453165 -229.082581
424.995911 -22.029354 -236.261322
432.194824 -21.564705 -243.473495
439.304840 -21.046455 -250.596542
447.426117 -20.493834 -256.481659
455.959259 -20.051096 -261.874664
465.074036 -19.858521 -266.430145
474.298004 -19.751537 -270.979797
483.324127 -19.850031 -275.431824
492.710907 -20.339275 -279.664429
502.161804 -20.897869 -283.228577
Custom
ZoneDoor "zone_to_qey_elddar"
506.758942 -21.197273 -284.457947
523.328491 -20.627247 -288.322937
531.973450 -20.654284 -293.422424
540.401611 -20.860620 -298.925995
548.650757 -21.172636 -304.690796
557.028503 -21.685295 -310.490082
566.397583 -21.900946 -313.982422
576.305603 -21.510624 -316.067902
586.198181 -20.876383 -318.001495
596.245361 -20.427181 -319.965302
