Under the Veil
-92.223595 199.708588 0.243290
-100.926659 199.958237 -5.471705
-105.632263 200.373428 -14.427310
-107.987381 200.979858 -24.240141
-109.887001 201.253159 -34.242039
-103.295288 199.520233 -41.799366
-94.592255 197.840820 -47.129654
-100.737473 197.121979 -55.319202
-111.039948 198.037216 -57.479340
-120.701019 198.875412 -60.407024
-120.055702 196.251740 -70.311020
-117.987206 193.576553 -79.965103
-114.901978 190.704193 -89.467148
-113.107445 187.749283 -99.228081
-112.067451 184.627029 -108.916069
-112.050522 181.459198 -118.432465
-112.163155 178.373856 -128.421799
-112.283257 176.453369 -138.495514
-112.844498 175.328232 -148.481262
-114.229782 175.275269 -158.771652
-112.245003 174.338547 -168.555542
-105.595055 172.070633 -175.678711
-96.512222 169.305573 -179.449783
-87.084557 166.623367 -176.196732
-78.817734 165.122513 -170.385178
-72.996140 163.411148 -162.013458
-68.694489 163.510742 -152.500031
-65.678955 164.643753 -142.924240
-63.966965 168.753708 -133.622787
-61.108406 165.172852 -142.607651
-59.910736 162.207794 -152.540924
-56.575298 160.684402 -162.030014
-50.015488 159.323257 -169.766724
-42.494423 158.040619 -176.443481
-34.561852 157.290466 -182.633728
-25.893257 156.637665 -187.595291
-16.824833 156.136047 -192.604965
-6.785234 155.551392 -191.865356
2.096797 156.038757 -187.005295
10.495918 157.016312 -181.477341
19.498400 158.455490 -176.247116
29.079359 159.890564 -172.675247
33.984211 160.641678 -170.856735
33.984211 170.720184 -170.856735
33.984211 180.857147 -170.856735
33.984211 191.250641 -170.856735
33.984211 201.685013 -170.856735
35.580608 211.520660 -169.809906
41.447506 218.716278 -165.676727
47.459171 225.759247 -161.129913
54.926323 227.640701 -154.352570
61.147503 233.239349 -148.552567
67.136101 239.025665 -142.999786
74.473045 236.772583 -136.023941
81.494972 233.472977 -129.347610
88.421463 230.218216 -122.762032
88.335190 226.421753 -113.362244
93.839073 222.374451 -105.634644
101.164230 219.703003 -99.034569
109.782013 221.845535 -94.095451
115.983810 214.449326 -90.977417
121.107277 206.153122 -87.871651
125.197350 197.234497 -85.334671
129.319717 188.018494 -82.778687
133.402740 178.890442 -80.247078
137.657288 170.042114 -77.191277
141.827225 161.849533 -72.560211
143.173584 158.902878 -62.659435
133.149109 160.427460 -64.324379
141.765976 159.588943 -58.590530
145.454681 158.330536 -49.301987
146.149765 157.585648 -39.196026
154.184311 158.077362 -33.140896
160.051804 159.502945 -24.697552
162.044022 160.976761 -14.908461
161.221466 162.802155 -5.021492
171.196136 164.459732 -3.544660
180.295822 164.954605 -7.729323
182.070374 164.038483 -17.761997
191.125626 165.523041 -13.046595
196.019379 167.640686 -4.420604
201.035065 169.635986 4.042856
200.450378 170.556580 14.276123
191.829071 170.628326 19.855026
181.808472 170.234879 23.303799
173.127792 170.641052 28.982342
165.890991 169.225586 36.157425
159.881699 168.134094 44.200764
155.195740 170.829391 52.802929
151.893372 179.467056 56.769669
151.893372 189.824432 56.769669
151.893372 199.877853 56.769669
151.893372 210.113403 56.769669
157.472198 204.736465 50.101147
166.405670 200.280457 48.347282
172.327316 195.014053 54.746998
172.340683 185.157715 57.414257
171.320404 175.432327 60.693741
180.408386 173.176285 64.801048
190.189514 173.682770 67.336708
194.623489 175.405655 76.553223
193.281631 177.087296 86.388100
185.846191 178.444336 93.276131
190.816772 179.256775 101.948723
193.863998 180.610245 111.386467
184.437881 180.375458 107.393913
174.563660 181.046768 105.132721
166.335876 180.913116 98.121590
160.509354 180.383652 89.670654
150.735580 182.566269 88.582436
141.715378 184.593964 84.392723
132.717789 187.037643 80.765793
138.364944 185.731384 89.152382
144.199585 184.415588 97.505745
142.545471 184.080002 107.372475
134.273544 185.284485 113.197395
124.597412 188.333862 114.109818
129.813828 185.583664 122.408791
130.140884 185.612671 132.453857
137.501205 182.616043 138.555099
135.323837 182.621140 148.599976
135.973724 183.623505 158.892151
139.703186 182.514572 168.376312
149.071991 179.597549 165.822800
158.138885 176.983154 162.025299
166.662292 178.283310 156.943314
168.726730 174.152679 165.890091
162.037994 176.173080 173.310974
154.161957 177.626022 179.753601
146.396790 180.374725 185.957489
138.567047 181.610107 192.323029
129.725586 182.757507 197.371414
120.201454 184.040421 194.313614
112.958916 185.290085 187.287003
104.697685 186.695816 181.746124
95.346489 188.921371 178.453049
85.586975 189.404541 175.586349
75.291451 189.735886 174.422913
65.359612 191.357498 174.065552
57.871002 193.403381 180.563370
59.288609 192.120605 190.735886
53.341522 192.759598 198.754501
137.492432 159.167236 -66.171158
137.492432 209.623032 -66.171158
137.492432 251.617294 -66.171158
93.959435 250.301453 -41.523197
57.525673 222.652481 -20.081121
19.886297 195.458755 -0.431994
Custom
FlyDown
19.421764 199.549911 -0.191436
Custom
HailActor Vizzeren 2
17.287237 195.458435 0.138844
17.287237 245.520935 0.138844
17.287237 295.963989 0.138844
-25.931982 304.689148 -24.072666
-69.801071 304.689148 -48.648220
-113.583427 304.689148 -73.175232
-160.358017 304.689148 -92.060417
-208.543777 304.689148 -105.574966
-256.748535 304.689148 -119.094933
-305.010254 304.689148 -132.630951
-354.080811 304.689148 -142.377716
-401.003479 286.992340 -146.322327
-441.967133 258.287567 -148.824539
-484.225708 231.530502 -151.788528
-526.483948 204.773514 -154.752563
-568.691101 178.048401 -157.713120
-611.099487 151.195908 -160.687744
-653.949402 125.081810 -163.693008
-696.206482 97.998886 -167.023254
-725.109192 57.335354 -171.512070
Custom
FlyDown
-736.574463 43.555008 -174.738235
Wait
20
-749.376526 38.979744 -178.985840
Custom
UseItem "Vizzeren's Arcanum Vision Elixir"
-749.376526 38.979744 -178.985840
Custom
HailActor Darathar 2
-749.376526 38.979744 -178.985840
