Shattered Dawn: Battle of the Nexus
Custom
HailActorGetQuest -Actor "Al'Kabor"
-247.134674 0.389527 -171.433350
-238.658691 1.709759 -165.614746
-230.899673 2.187238 -158.944031
-223.669525 1.066984 -151.764053
-217.395004 0.170809 -143.747070
-212.098175 -0.009219 -135.209930
-206.913437 -0.009219 -126.509308
-202.027603 0.084025 -117.479370
-197.471939 1.344941 -108.344635
-193.642914 6.024477 -100.240685
-189.749969 7.387182 -90.903946
-185.856567 6.784309 -81.525902
-183.248856 5.393204 -71.771873
-181.183060 1.139656 -62.641972
-179.099548 0.218449 -52.715466
-177.638611 2.409415 -42.928089
-177.039276 1.294424 -32.538433
-178.223099 1.739900 -22.399796
-181.660690 2.058509 -12.654456
-184.565384 0.615324 -3.013046
-186.918961 2.589833 6.797046
-189.292786 3.628685 16.487522
-190.440720 4.073292 26.684063
-187.002121 4.115842 36.340565
-181.353592 3.645621 44.794312
-174.599075 3.026186 52.805691
-166.793777 2.497498 59.478931
-169.585999 0.178281 69.635277
-172.332870 0.178281 79.657967
-175.022400 0.178281 89.471420
-177.686905 0.178281 99.193504
-180.347260 0.201448 108.900291
-182.973984 3.263604 118.484406
-185.705719 3.219216 128.451859
-187.369400 3.070858 138.584671
-187.346863 0.647068 148.313431
-183.984283 0.178281 158.069016
-177.830338 0.178281 166.092789
-170.659210 0.178281 173.132156
-163.442703 0.225450 180.216049
-156.722519 1.868592 187.547394
-150.971619 4.524764 195.660034
-144.107300 4.630042 203.097137
-136.504639 4.623646 210.502121
-129.108002 4.500842 217.691757
-121.636475 4.253203 224.918091
-113.113495 4.058670 230.720428
-103.748955 4.069772 234.447556
-93.983749 4.452904 236.839828
-84.126778 6.396530 239.115799
-75.150192 11.058026 240.295746
-67.456551 18.026335 239.303833
-59.661221 23.974352 237.052048
-50.502380 27.685682 235.220123
-40.672554 30.506451 233.633011
-30.737919 32.228836 232.221741
-20.410143 33.334370 232.604126
-10.455838 35.470505 233.840790
-0.341934 36.762276 235.868118
9.743042 36.525593 237.391068
19.897537 35.258553 238.309311
29.951998 36.047272 238.235168
39.769970 38.332802 235.867950
49.283619 38.803230 231.662262
58.226231 38.199390 226.975204
67.328697 37.826042 222.335251
75.194923 38.063831 215.748459
82.748955 39.002403 208.409592
89.512886 39.413521 200.518814
95.091423 39.713718 192.101410
99.595421 42.102436 183.139542
102.914169 44.149757 173.639175
111.523079 40.744629 178.224457
118.600197 39.088142 185.437531
125.462700 40.135845 193.003738
132.896454 41.874081 200.034714
141.452759 41.110729 205.423035
151.122345 39.927555 207.757843
160.008362 40.661560 202.724792
166.218750 40.558521 194.456177
172.031281 39.798775 185.870102
177.006622 39.598629 176.929718
181.488159 37.813038 167.749893
185.555603 38.569035 158.574692
189.419434 40.377132 149.311356
193.247940 39.383926 140.119385
197.507370 38.273827 130.770569
202.433762 38.349121 122.008934
208.502884 39.097614 113.973091
216.081543 39.367096 106.694412
223.802338 40.289822 99.992844
232.010834 40.652897 93.521683
240.312683 40.954880 87.366112
248.444000 42.132854 81.347473
256.447479 43.427330 75.423447
264.534912 44.149761 69.445770
272.915436 45.498497 63.746380
281.343201 47.455845 58.672165
289.888306 50.741085 53.638336
298.653656 53.215450 48.776409
308.563141 52.655067 46.843178
316.834290 53.088295 40.815136
324.864685 53.211521 34.828487
332.890900 53.576885 28.840458
340.830048 54.877480 22.636625
348.754059 55.278740 15.523951
358.324188 55.198456 12.058343
366.563812 54.876186 6.138295
370.048462 54.921318 -3.379427
373.893677 54.432529 -12.736255
377.900635 53.496632 -22.133400
382.079010 53.687237 -31.932756
386.039185 54.905148 -41.220211
390.069550 55.465191 -50.672195
394.014160 55.262611 -59.923084
396.875519 54.577263 -69.842766
393.006500 53.457325 -79.407326
387.415955 54.975071 -88.234985
382.369049 56.638046 -97.253624
378.110901 55.965603 -106.518799
373.021515 54.753349 -115.330688
367.940460 54.410191 -123.962158
361.527679 55.406609 -132.316422
355.128357 55.754124 -140.431732
348.139069 54.280045 -147.453903
341.133545 52.009163 -154.253098
336.159058 52.296913 -163.613678
331.395050 55.577377 -172.154465
325.988831 59.714153 -180.287766
320.948975 62.590874 -189.144989
316.243652 64.032021 -198.368668
311.344818 64.420326 -207.105515
306.151398 65.496758 -216.017899
301.049744 63.240524 -224.381119
294.148224 62.047611 -231.605865
285.993774 61.850025 -237.397644
277.709290 61.680962 -243.399445
269.567291 60.708637 -249.487701
261.231567 58.706486 -255.533920
252.537216 58.533176 -260.995514
243.713562 58.656227 -265.803223
234.693192 59.557533 -270.197327
224.677582 60.164593 -272.206177
215.551071 61.240742 -276.375458
206.703369 61.988911 -281.276611
197.676346 61.673416 -286.648224
189.136841 61.995491 -292.630188
181.410782 62.011082 -299.399109
173.715897 61.949734 -306.563568
166.163116 61.334885 -313.530487
158.699814 61.304226 -320.359802
151.321960 62.122604 -327.105896
143.796677 61.981804 -333.881409
143.166641 61.354092 -344.083954
144.814560 61.830269 -354.139801
146.808929 63.209866 -364.155670
148.973236 65.916489 -373.630188
151.625656 68.222733 -383.164185
154.643951 69.184792 -392.757324
157.771301 70.851112 -402.691193
160.752121 72.956314 -412.191986
162.574905 75.385315 -422.118622
161.316162 78.296799 -431.910431
159.167236 80.618851 -441.434998
156.550415 80.699097 -451.141235
153.807785 80.836975 -461.167358
151.112320 82.038910 -471.021118
148.275833 84.022842 -480.978485
144.418076 86.219002 -490.451355
139.056686 86.773773 -499.295563
132.762558 85.786896 -507.640991
126.936844 85.494797 -516.126770
121.349876 85.103111 -524.630432
119.552277 85.140160 -534.545105
124.011360 83.509949 -543.747070
119.079971 80.963104 -552.446106
111.233963 79.654388 -558.560364
105.006279 77.860146 -566.576172
100.780243 75.738960 -575.607910
97.583694 73.593582 -585.247681
94.482658 72.311157 -594.937256
96.414032 70.377602 -604.961121
102.475021 68.958305 -612.996643
109.351913 67.341637 -620.547119
117.730431 64.908218 -625.902771
127.542786 64.536499 -629.322449
137.737961 63.998940 -631.010376
147.824738 63.085728 -632.624023
157.655258 61.967007 -635.353149
Custom
HailActor "Haradol McNeil" 8
168.348618 62.011223 -631.588623
164.320953 61.844528 -637.756042
171.132492 61.893368 -645.110474
177.938385 61.893368 -652.573608
184.789978 61.893368 -660.520203
186.922928 61.893368 -663.043762
179.777908 61.893368 -670.041504
172.420700 61.893368 -677.250977
Custom
ZoneDoor zone_to_fordel_midst "Fordel Midst: The Listless Spires [Solo]"
170.323135 61.893368 -678.001770
Custom
Instance
298.909363 -36.289856 937.583923
Custom
ZoneDoor "Zone exit"
274.335968 -36.012318 724.475281
Custom
HailActor "Apprentice Trevyr" 4
156.447662 62.004078 -638.330444
