A Recipe for Necromancer Stew
Custom
HailActor "Necromancer Corporiss" 7
-726.438660 -108.140442 -855.416443
-719.852539 -104.135498 -861.892761
-712.489685 -103.508179 -868.724976
-705.077576 -103.526054 -875.394165
-724.317261 -120.258148 -741.672852
-724.317261 -120.258148 -741.672852
-710.477112 -73.797058 -728.381775
-680.633179 -44.488213 -700.952393
-654.481323 -9.078414 -676.915955
-628.348938 26.304970 -652.897461
-599.040588 61.958740 -633.279602
-560.932129 88.976784 -615.343994
-516.066650 95.590828 -594.228210
-471.219055 102.202446 -573.120178
-428.334961 118.258080 -552.937073
-382.948883 124.948860 -531.576233
-338.033051 131.570053 -510.437378
-293.083588 138.196320 -489.282715
-248.117310 144.824997 -468.120056
-203.083771 151.463547 -446.925781
-156.614136 143.859528 -430.054382
-112.377243 120.871147 -425.913361
-68.040848 97.831093 -421.763214
-73.076797 51.536316 -386.965088
Custom
FlyDown
-74.274109 32.077248 -371.805084
Custom
PathKill 71 35 35 1 1 1 "an unearthed" "I have collected enough dragoon bones and shards of agony" 1
-74.263794 -2.775954 -371.812286
-70.581306 -2.412754 -362.467896
-73.303299 0.505862 -353.236176
-76.038391 0.870866 -343.501404
-77.778465 0.289769 -333.432098
-80.003159 -2.665939 -323.947815
-85.049408 -3.425652 -315.230652
-89.671341 -5.343828 -306.549042
-93.651169 -3.046476 -297.577911
-96.914543 -1.690206 -288.163300
-99.966469 -0.956966 -278.243500
-101.686668 0.702444 -268.356750
-102.566132 3.591861 -258.652374
-103.288689 7.144402 -249.241974
-107.631355 9.362443 -240.117493
-114.184044 7.842196 -232.640549
-120.785004 5.588112 -225.227448
-127.375191 3.640275 -217.826508
-131.774338 3.597566 -208.616257
-133.443985 4.132375 -198.678894
-133.566986 5.169465 -188.545090
-128.634094 6.835591 -179.861206
-119.238388 9.033926 -176.273590
-109.315536 10.588900 -175.272171
-99.913208 13.999535 -176.880951
-92.383301 14.040765 -170.019180
-89.399010 10.016863 -160.987930
-85.983093 5.550011 -152.674286
-76.526520 4.650827 -149.062149
-66.858604 6.855270 -150.832138
-57.901157 9.894159 -154.128159
-52.534191 6.569238 -146.153717
-46.423370 1.990741 -139.665741
-37.918518 0.831559 -134.282059
-28.934624 4.827769 -131.330307
-20.042999 9.686792 -130.675674
-10.389627 12.634087 -132.122955
-0.357322 13.580903 -132.380508
8.153562 10.411430 -127.845444
16.246279 5.668478 -123.375214
23.369917 -1.146641 -121.350769
32.400196 -5.136983 -123.573090
39.645130 0.545790 -128.006622
47.615608 4.310348 -133.027054
56.030949 5.573855 -138.658371
64.303596 5.152968 -144.309280
72.168884 1.504603 -149.591202
79.612282 -3.148295 -154.589798
87.839195 -0.665198 -160.114578
95.752998 2.672786 -165.582611
103.723984 3.674129 -171.685043
110.872437 -0.020287 -177.795990
118.211380 -2.620054 -184.124985
124.603851 -6.724054 -190.878723
129.647018 -3.911083 -199.174820
137.473587 -3.190380 -205.419708
146.922775 -6.724155 -206.616043
154.010803 -12.227833 -211.474915
159.524475 -18.677519 -217.400558
165.807022 -21.523941 -224.827438
172.699448 -20.961218 -232.286499
181.357635 -21.018147 -237.736298
190.944168 -21.010469 -240.942780
200.020081 -24.719757 -243.318085
209.412323 -27.988668 -245.848190
218.888214 -30.107035 -248.621994
227.784470 -31.920599 -253.169434
235.772202 -33.551941 -259.115814
241.443451 -34.981503 -267.300537
246.468994 -36.336723 -275.982697
251.071152 -37.484009 -285.065521
253.177750 -37.639034 -289.207001
-75.125809 -2.639854 -372.395386
-75.125809 -2.639854 -372.395386
-60.458008 35.030144 -342.842499
-48.835388 70.001411 -309.029663
-34.238453 95.847786 -268.405945
-22.260775 131.393250 -235.072083
-7.432757 155.571014 -193.805679
4.263000 191.102478 -160.386368
9.401594 224.961288 -123.715096
15.020633 252.707001 -82.405746
21.680120 253.884399 -32.773182
28.711157 253.885269 17.115028
35.736938 253.885956 66.966087
42.741726 253.885956 116.668663
49.733425 253.885956 166.278534
56.725128 253.885956 215.888458
63.766544 253.885956 265.850983
70.763474 253.885956 315.497864
77.757782 253.885956 365.126221
84.780876 253.885956 414.958649
91.824913 253.885956 464.939697
90.242409 253.885956 515.091553
76.214401 253.885956 563.188110
62.175404 253.885956 611.319641
48.141659 253.885956 659.433167
34.107922 253.885956 707.546814
20.042658 253.885956 755.768311
6.040412 253.885956 803.773926
-7.993350 253.885956 851.888306
-23.354877 251.479599 899.568604
-51.956017 233.808228 936.841553
-86.758659 212.810944 966.229919
-121.509270 191.844971 995.574280
-156.298843 170.855438 1024.951538
-191.023285 149.905136 1054.274048
-225.903870 128.860733 1083.728394
-257.757599 108.028130 1116.592407
-288.678772 87.320473 1150.021606
-319.680817 66.558548 1183.537476
-350.694763 45.788666 1217.067505
-381.662048 25.049864 1250.546021
-411.985138 1.788218 1283.222778
-443.210388 -22.407028 1314.085693
-476.678467 -44.338810 1344.069214
Custom
FlyDown
-479.156342 -49.367584 1351.681641
Custom
HailActor "Necromancer Corporiss" 3
-476.599579 -50.145897 1348.739014
