Decapitator Exterminator
Custom
HailActor "Lord Sheckt" 4
717.398560 -125.860474 76.782372
722.472839 -124.508789 68.122704
727.492249 -122.925613 59.556957
732.334717 -121.088692 50.934731
736.040833 -118.655441 41.764557
737.043213 -116.146736 32.116329
736.687195 -114.060303 22.069038
735.924805 -112.093323 12.098559
734.291138 -110.510353 2.234243
731.602722 -109.101173 -7.553015
722.814697 -107.426353 -12.531652
714.064575 -106.129288 -7.859627
706.200745 -104.711510 -1.627844
698.448364 -103.494362 4.718785
690.639832 -102.112801 11.111401
682.861877 -102.405457 17.484140
674.977173 -102.996773 24.040964
667.225525 -103.207726 30.501890
657.713074 -100.785812 28.149334
647.872559 -98.623604 27.405533
639.100464 -98.341103 32.719315
631.053406 -98.481514 39.045715
623.289978 -98.765572 45.689003
615.537720 -99.390953 52.401997
607.922791 -100.666618 58.996181
600.417603 -102.033493 65.495331
592.685303 -102.247688 72.147316
584.034607 -101.606804 77.211205
574.391907 -100.123390 80.008789
564.417847 -98.452400 81.178314
554.836365 -96.829300 78.564194
557.485046 -96.383629 68.807388
566.801514 -96.709953 64.682129
576.448120 -97.041954 61.428356
582.651611 -94.585556 53.837509
585.038269 -90.535629 44.702595
587.423218 -87.026070 35.292919
591.316528 -86.108795 25.990314
595.439636 -85.158340 16.662476
599.085022 -83.030449 7.174984
598.748718 -79.977066 -2.742785
593.658386 -76.429787 -10.793385
585.519287 -73.127144 -15.734838
579.174805 -69.265404 -22.683420
574.047119 -65.605659 -29.793846
927.988464 -131.755417 57.903008
927.988464 -131.755417 57.903008
935.931580 -131.601051 66.960297
935.931580 -81.601051 66.960297
935.931580 -31.426046 66.960297
915.477234 13.091667 56.784554
886.540894 48.491219 36.516300
862.061829 84.036537 11.156756
838.702820 119.674721 -15.661433
806.188416 129.378220 -52.741703
773.152222 132.592804 -90.417595
740.128113 135.806152 -128.079254
706.954956 139.033905 -165.909729
673.966919 142.243622 -203.529175
640.954224 145.455795 -241.176758
607.966187 148.665573 -278.796204
574.867004 151.886124 -316.542267
541.903748 155.093475 -354.133575
508.891785 158.305725 -391.781158
475.953278 161.510696 -429.344330
443.002594 164.716843 -466.921570
409.879089 167.939835 -504.695770
376.965271 171.142349 -542.232788
344.014374 174.348511 -579.812317
311.100525 177.551132 -617.349487
278.162109 180.756058 -654.915039
245.075729 183.975388 -692.649597
212.026230 187.191101 -730.341797
179.112396 190.393677 -767.879089
146.149155 193.601044 -805.472412
112.811241 195.711823 -843.020630
79.349113 197.050903 -880.383850
45.760933 197.913712 -917.707458
12.011974 197.841949 -954.856873
-21.978500 197.006851 -991.838806
-56.384743 194.912689 -1028.328613
-97.680687 194.301529 -1056.942383
-144.110352 195.870438 -1075.965820
-190.339493 197.869110 -1095.057861
-236.519073 201.084930 -1114.557739
-282.715515 204.301849 -1134.065308
-328.790833 207.510391 -1153.522339
-377.523682 210.755524 -1165.001831
-426.776764 202.892365 -1170.251221
-470.582245 178.781708 -1172.265503
-514.734558 154.483765 -1174.295288
-558.705933 130.285049 -1176.316528
-602.578308 106.140579 -1178.333740
-646.550415 81.941879 -1180.355591
-690.018616 56.809311 -1182.395386
-729.942871 26.435026 -1185.581543
-767.557678 -6.623711 -1189.707397
Custom
FlyDown
-788.344238 -22.287277 -1195.501587
Custom
HailActor "Lord Sheckt" 3
-792.401001 -23.912374 -1192.412354
