From the Ruins
-757.400635 100.127159 -1095.274292
-762.162415 99.384476 -1104.332886
-768.933899 99.392029 -1112.342407
-779.023621 98.633926 -1111.079468
-783.981750 91.287025 -1106.136597
-786.963135 81.601517 -1103.569946
-795.501221 77.624535 -1099.136353
-804.471375 72.912529 -1100.631348
-809.835449 68.240524 -1107.906250
-814.444031 62.572342 -1115.168579
-815.842468 52.794571 -1117.119873
-821.309998 48.351604 -1124.600342
-831.334900 47.847328 -1124.297607
-840.958923 44.958172 -1123.748657
-850.948853 43.878922 -1123.278687
-861.007507 42.007938 -1123.036865
-870.990234 40.726727 -1123.272949
-880.812500 43.448444 -1124.323486
-888.398804 47.477997 -1129.656982
-894.891663 48.271935 -1137.697388
-901.653992 45.336533 -1144.819580
-906.264893 46.155117 -1153.900879
-910.822815 44.349586 -1162.891357
-918.596497 43.033813 -1169.173462
-927.395874 43.775284 -1164.378540
-934.940247 46.831554 -1158.156128
-942.302612 44.150475 -1151.523438
-947.094360 42.113827 -1142.861206
-956.415466 40.045101 -1139.419312
-966.215393 40.275002 -1141.583130
-975.173889 45.299232 -1142.748413
-984.096924 50.395290 -1143.048828
-992.855286 55.354912 -1143.529541
-1001.374390 50.014187 -1145.553711
-1010.234741 46.199745 -1148.531006
-1018.632080 42.717823 -1152.720215
-1026.603027 44.740391 -1158.748291
-1034.504272 45.714306 -1165.108398
-1042.668823 45.673210 -1171.591797
-1050.803101 47.018051 -1177.677368
-1060.149414 49.387493 -1180.893433
-1069.188110 46.009617 -1177.278320
-1075.411377 38.311604 -1174.577148
-1084.222046 34.058334 -1172.071411
-1094.149048 37.044933 -1171.938843
-1103.975708 39.798195 -1172.520630
-1114.053467 39.749672 -1172.702271
-1124.479126 40.433014 -1172.631470
-1134.747192 40.804146 -1172.581787
-1144.733032 39.339268 -1171.737793
-1154.192993 37.217793 -1168.995605
-1164.283691 37.887764 -1167.585693
-1167.602173 37.969711 -1157.842773
-1164.664429 36.722729 -1148.162720
-1161.231079 37.300365 -1138.502319
-1159.012695 38.520401 -1128.311157
-1160.591919 41.533440 -1118.763062
-1165.149902 49.036091 -1113.345703
-1175.169800 50.346664 -1111.509521
-1183.937866 52.523613 -1106.597778
-1188.815186 57.956577 -1099.554565
-1196.258423 59.209641 -1092.767578
-1205.008423 58.057213 -1087.635254
-1213.775879 52.765442 -1086.427734
-1221.557983 46.494457 -1084.701416
-1228.041138 38.810879 -1082.185059
-1235.985107 38.342758 -1075.567871
-1240.763306 44.326286 -1068.770142
-1245.718018 45.630035 -1059.974854
-1251.627319 47.983650 -1051.905518
-1254.895386 50.190754 -1042.374878
-1255.025757 49.702820 -1032.010132
-1254.949219 48.968105 -1021.672241
-1254.713623 46.041008 -1011.784790
-1255.221069 43.510262 -1001.971985
-1255.232788 41.520042 -991.838745
-1254.516602 36.869617 -982.924133
-1253.839722 42.665916 -974.181824
-1255.076660 48.722473 -966.127075
-1256.633911 46.205505 -956.498108
-1254.377686 41.589508 -947.647705
-1253.966431 40.796379 -937.403870
-1258.094482 42.404903 -928.016968
-1264.741211 42.725113 -920.425354
-1271.210083 42.508659 -912.454529
-1271.178833 41.703533 -902.224243
-1267.955566 45.090061 -893.293945
-1259.986206 49.021698 -887.935913
-1249.860474 49.870983 -888.635132
-1241.720825 49.994530 -882.441650
-1234.767944 46.697987 -876.004822
-1228.023438 48.434124 -868.380310
-1222.509644 53.565617 -861.781067
-1216.854248 59.717457 -855.297302
-1211.852661 65.550735 -848.362549
-1209.299927 68.311234 -838.966492
-1208.046631 67.350403 -828.791626
-1207.840942 64.699203 -818.973145
-1207.671143 63.679031 -808.946838
-1205.619385 66.441666 -799.529297
-1206.311646 69.307930 -789.489197
-1211.400513 69.012428 -780.881775
-1217.236084 68.774918 -772.721069
-1222.421021 69.853073 -764.074585
-1225.958496 70.763603 -754.530640
-1225.491333 71.094215 -744.519836
-1220.857544 70.154922 -735.677673
-1213.488281 67.611519 -728.755127
-1205.050293 66.528664 -722.712036
-1199.064697 60.746899 -717.023132
-1194.932373 59.111721 -707.869568
-1196.620361 57.346584 -698.026428
-1200.164551 56.264271 -688.676941
-1204.041016 54.653595 -679.389587
-1207.747070 51.713531 -670.542847
-1212.033447 50.823830 -661.263733
-1216.073242 52.185017 -651.842957
-1216.867676 51.822655 -641.806030
-1209.719116 47.536396 -635.578552
-1200.685669 44.290314 -632.704712
-1191.529541 40.019573 -630.911194
-1181.159668 40.379440 -630.354858
-1171.290771 38.556992 -630.227173
-1163.819214 45.709225 -629.173950
-1155.276245 49.035679 -624.965515
-1147.252075 48.804821 -618.815063
-1139.326904 48.902596 -612.211121
-1133.728638 47.751591 -603.647217
-1129.333252 47.748634 -601.831543
-393.877411 58.351715 -1166.081787
-393.877411 58.351715 -1166.081787
-389.275543 57.272854 -1156.859863
-387.309906 56.520260 -1147.020508
-390.143127 54.762688 -1137.319824
-391.058807 57.704624 -1127.731934
-388.846771 64.480583 -1120.059204
-383.090637 66.840088 -1111.843140
-377.250916 61.062214 -1105.573486
-371.870544 54.798218 -1099.633179
-365.459503 53.176743 -1091.591187
-359.179626 54.447784 -1083.666260
-353.339905 58.477329 -1076.297119
-347.631927 62.746620 -1068.985107
-341.697723 65.567589 -1061.270020
-336.357941 66.167603 -1052.545898
-333.780396 65.605713 -1042.809814
-331.389130 65.390785 -1032.666992
-334.545197 65.889999 -1042.269287
-342.311401 69.006447 -1036.547974
-348.740143 70.530525 -1028.714844
-354.065399 69.639931 -1020.259827
-359.580322 68.814781 -1011.710449
-365.186035 68.339691 -1003.242126
-360.942505 65.096664 -994.593750
-351.939850 63.184597 -989.710327
-342.927521 61.419182 -985.466248
-333.453339 61.063332 -981.935242
-323.903839 62.115921 -978.378784
-314.370178 63.820175 -974.693848
-304.866333 64.515739 -970.407471
-295.803314 63.661552 -965.995544
-286.901611 60.049679 -961.943665
-278.662567 55.661514 -958.150574
-270.819061 51.428619 -953.499573
-262.709930 48.223015 -948.465881
-253.959656 47.021702 -943.031677
-245.431366 46.967365 -937.777710
-237.079590 43.919922 -932.903198
-228.089355 39.473946 -930.308472
-219.448029 34.176701 -930.002747
-210.478134 28.731810 -929.640808
-201.995529 23.702156 -927.518433
-195.135666 18.915564 -922.009155
-187.592819 13.590591 -917.723938
-179.162338 9.099267 -914.063721
-170.033768 6.957685 -910.298462
-160.738586 6.931439 -906.234009
Custom
HailActor "Researcher Aillena Belzia" 3
-157.895630 6.750694 -905.025452
