Bad to the Bones
Custom
HailActor "Sergeant Slithess" 5
81.019379 -97.976288 -369.522583
89.757439 -96.776245 -374.422607
98.557320 -96.157455 -379.250183
107.185234 -94.092087 -383.976013
115.931641 -91.396812 -388.518066
124.415398 -88.663025 -393.124390
132.764877 -86.636826 -398.594421
140.165146 -85.413567 -405.331604
146.434265 -83.233574 -412.949799
153.922028 -81.127274 -419.420868
162.380569 -79.396767 -424.934814
170.814682 -78.556061 -430.439606
178.778671 -76.109421 -436.374237
185.252121 -72.921310 -443.586121
192.403290 -70.469070 -450.174194
200.254486 -67.923096 -456.149109
204.210098 -66.394363 -459.593964
-106.443062 9.950622 -238.306290
-106.443062 9.950622 -238.306290
-108.488701 10.641252 -228.476273
-110.576363 10.058972 -218.444183
-112.578308 6.529527 -208.980438
-114.469170 8.394604 -199.092972
-115.324272 9.541492 -189.093460
-116.044838 9.513703 -178.845856
-116.752670 8.261658 -168.779312
-117.418495 5.040730 -159.310257
-118.070335 0.645690 -150.040344
-118.710693 -4.378967 -140.933365
-119.347244 -8.665591 -131.880676
-119.991440 -12.974895 -122.719353
-120.661087 -16.545994 -113.195930
-121.332008 -19.690922 -103.654427
-121.957092 -24.289724 -94.764671
-122.560066 -29.491203 -86.219101
-123.816704 -33.229244 -76.849754
-125.390961 -35.495392 -67.120842
-126.958824 -37.766117 -57.335762
-127.897156 -39.363621 -47.333279
-128.108459 -39.693806 -37.135212
-128.301743 -40.047882 -27.136442
-128.498123 -40.454300 -16.974329
-128.694427 -40.985287 -6.812221
-128.371323 -41.269611 4.283389
-128.059479 -40.347538 14.458853
-127.747581 -39.404152 24.635731
-127.436211 -38.583843 34.794945
-127.129295 -37.788715 44.809048
-126.822945 -37.422554 54.805019
-126.516029 -36.827168 64.819130
-126.530136 -36.102337 75.016212
-126.623154 -35.262459 85.179543
-126.673874 -34.056198 95.379761
-126.724396 -32.769035 105.543678
-126.774384 -31.054337 115.598694
-126.824661 -29.771772 125.708160
-126.873772 -28.044243 135.581604
-126.922882 -26.051777 145.455002
-126.971962 -23.603899 155.328354
-127.019600 -20.587505 164.911316
-127.068001 -17.816811 174.639587
-127.116005 -15.013922 184.295181
-127.164467 -11.881234 194.041534
-127.212105 -8.712686 203.624512
-126.732025 -5.174884 213.244644
-123.602386 -1.643884 222.338898
-119.651482 1.762140 231.069763
-115.670464 5.346472 239.866669
-111.719360 8.969935 248.597397
-109.000885 12.681601 257.766907
-108.053963 16.588795 267.179535
-108.543236 20.804419 276.547546
-110.009125 25.483469 285.439453
-112.375710 30.755363 293.819641
-115.787628 35.063740 302.488800
-120.335060 39.450771 310.620972
-126.074532 43.682041 317.901581
-133.038864 46.471626 325.000122
-140.598572 48.800896 331.293854
Custom
HailActor "Sergeant Slithess" 2
-147.795944 50.514744 337.254486
