Scout Jamboree
Custom
HailActor "Battlemaster Kythe" 8
-648.854187 -127.798180 -589.174866
-639.284729 -126.712410 -592.687317
-629.629089 -125.031807 -595.668396
-620.325684 -122.322327 -598.184265
-611.068970 -118.763847 -600.591125
-601.334595 -116.517830 -602.884155
-591.467102 -114.838570 -605.311646
-581.971863 -112.361290 -608.018738
-572.321289 -110.127014 -610.570679
-562.485779 -110.012245 -613.205017
-552.791443 -109.888405 -615.982971
-543.171997 -109.108269 -619.148987
-533.571594 -108.216537 -621.931580
-523.875488 -106.703819 -624.658508
-514.249146 -104.833755 -627.087708
-504.841614 -102.366913 -629.419250
-495.363739 -99.695755 -631.768311
-485.781921 -96.942276 -634.225464
-476.430725 -94.159409 -636.557617
-467.076111 -91.106743 -638.875671
-457.897675 -87.611252 -641.149841
-448.684052 -83.641754 -643.432861
-434.395203 -75.803123 -648.506775
-657.786072 -128.604889 -586.073608
-657.786072 -128.604889 -586.073608
-652.674133 -127.911484 -576.789368
-647.473694 -126.228775 -568.238281
-642.040771 -124.028709 -559.973145
-636.474121 -121.262520 -551.796265
-630.987061 -119.342949 -543.653259
-625.404968 -117.972229 -535.115784
-619.903870 -116.857964 -526.655518
-614.462036 -115.571548 -518.286682
-609.661804 -114.484398 -509.482391
-604.680420 -112.950462 -500.415527
-599.734436 -110.957687 -491.578522
-594.789795 -108.425758 -483.179474
-589.782837 -105.675896 -474.732941
-584.621948 -102.969597 -466.221619
Custom
PathHailCast 23 35 1 1 1 "Scout Hir'Tak" "Hir'Tak's field report" 1 "4189597453"
-582.583801 -101.989830 -462.860321
-572.776184 -99.420158 -461.157104
-563.136719 -97.193710 -458.984894
-553.402039 -96.397873 -456.556824
-543.374451 -96.250221 -454.529846
-533.613770 -95.818253 -452.385712
-523.636719 -95.600464 -450.809509
-513.708496 -95.465080 -449.160461
-503.998535 -94.659050 -446.384430
-494.463531 -93.483147 -443.195282
-484.636810 -93.019463 -445.838348
-474.817169 -92.086632 -447.829620
-465.032959 -90.825035 -449.469879
-454.958313 -89.074104 -450.503082
-445.496216 -87.884247 -453.793793
-436.799377 -87.068802 -458.752686
-430.987823 -84.633575 -450.945160
-430.850830 -82.716896 -440.735016
-429.274078 -80.526443 -431.002319
-428.193481 -78.050537 -421.210449
-428.028290 -75.353676 -411.430054
-426.523407 -72.416756 -401.962830
-422.222260 -70.096626 -392.995056
-421.731995 -69.899796 -392.180847
-581.690979 -100.610168 -452.852692
-581.690979 -100.610168 -452.852692
-577.106445 -99.127769 -444.738892
-571.912781 -97.674919 -436.180054
-566.562317 -96.346161 -427.667969
-560.908447 -94.719208 -419.216766
-555.106995 -92.900505 -410.785736
-549.377258 -90.793427 -402.459106
-543.623535 -88.726730 -394.398041
-538.571777 -86.827446 -385.819000
-533.374451 -85.214478 -377.249664
-526.516174 -83.842194 -369.916138
-519.549805 -82.683578 -362.691010
-513.023926 -81.088318 -355.264526
-506.549927 -79.193642 -347.739563
-500.755951 -76.626320 -339.864044
-495.464233 -73.825027 -331.680328
-489.378204 -72.162483 -323.680542
-482.663330 -70.588829 -316.123474
-476.097443 -68.634399 -308.734039
-469.340698 -67.766899 -301.278290
-462.703491 -67.222359 -293.415527
-456.649872 -66.384430 -285.500244
-450.376373 -65.954521 -277.631653
-443.085693 -65.012566 -270.488678
-435.406769 -63.559105 -264.154785
-429.113953 -62.083595 -256.029205
-426.756378 -60.758339 -246.193619
-428.295624 -60.063465 -236.186523
Custom
PathHailCast 57 35 1 1 1 "Scout Tonkur" "Tonkur's field report" 1 "4189597453"
-430.295929 -59.189503 -227.245377
-436.810364 -60.778572 -234.937271
-442.843536 -62.008667 -242.873581
-449.857056 -63.434322 -250.327667
-456.886780 -64.847977 -257.419800
-463.987244 -65.486008 -264.621735
-470.868866 -65.003273 -271.876099
-476.765808 -66.002754 -280.072693
-482.493713 -66.399712 -288.545990
-487.968536 -66.790291 -297.160583
-492.509216 -69.342636 -306.053040
-497.498199 -71.688942 -314.675934
-503.508423 -73.070724 -322.590149
-509.253632 -75.285965 -330.803009
-514.061890 -78.107132 -339.173309
-518.830811 -80.359367 -347.718475
-524.568604 -82.186966 -355.834015
-530.630310 -83.618675 -364.016235
-535.590454 -84.977341 -372.643036
-541.093689 -86.497864 -381.071747
-546.888428 -88.390114 -389.429291
-552.629639 -90.426582 -397.452728
-558.499451 -92.496300 -405.311157
-564.595154 -94.425446 -413.180969
-570.533875 -96.106911 -421.083954
-576.566284 -97.748207 -429.373352
-582.023071 -99.293037 -437.796936
-587.985718 -101.014053 -445.766541
-594.274048 -102.961716 -453.689941
-599.728760 -105.052147 -461.975220
-603.720703 -107.443329 -470.922028
-607.357300 -109.785538 -480.055054
-611.255066 -112.078224 -489.026367
-616.107300 -113.994980 -497.664063
-621.164490 -115.525192 -506.348297
-626.097168 -117.029129 -514.930725
-631.113159 -118.501671 -523.650269
-636.903870 -120.475761 -531.663635
-642.196289 -122.361275 -540.139709
-646.518311 -124.161324 -549.106750
-651.053589 -126.141159 -557.887512
-655.595032 -127.639244 -566.761963
-660.217957 -128.730927 -575.795776
-664.800842 -129.429932 -584.907959
-669.688232 -129.655258 -593.855347
-673.955811 -129.409103 -602.975647
-677.709106 -129.236191 -612.447021
-680.772339 -128.605469 -622.070251
-686.637878 -128.073196 -630.457336
-694.080627 -128.082886 -637.437805
-701.345947 -128.082214 -644.346680
-707.988953 -127.896683 -651.995850
-713.926208 -127.377396 -660.034119
-720.535400 -126.665466 -667.651672
-727.945190 -125.688629 -674.432007
-735.525330 -124.587189 -681.244568
-743.420044 -123.524269 -687.466370
-746.288818 -123.084747 -689.650208
-430.159241 -59.187172 -227.338669
-430.159241 -59.187172 -227.338669
-440.260254 -60.330902 -227.048386
-450.306610 -60.463196 -227.143982
-460.522949 -59.855225 -227.018707
-470.737579 -60.007915 -226.731216
-480.861572 -60.039043 -226.446167
-490.858459 -60.767403 -226.164642
-500.891571 -61.384132 -225.882065
-511.178711 -61.630253 -225.592346
-521.193726 -61.664314 -225.310287
-531.462708 -61.423893 -225.021088
-541.532227 -61.856785 -224.743423
-551.532227 -62.755497 -224.610535
-561.532410 -64.100525 -224.531982
-571.695984 -64.709274 -224.454178
-581.877502 -65.166687 -224.353500
-591.968323 -65.296936 -224.231293
-601.966858 -65.485413 -224.084763
-612.020874 -65.539749 -224.068680
Custom
PathHailCast 51 35 1 1 1 "Scout Niba'Nin" "Niba'Nin's field report" 1 "4189597453"
-616.776733 -65.402306 -223.991684
-623.461914 -66.409767 -231.596680
-631.038635 -67.400345 -238.226349
-639.033875 -67.815529 -244.475021
-647.026978 -67.777817 -250.629318
-654.827454 -68.210800 -256.964294
-663.157532 -68.947060 -262.730347
-670.872986 -70.448334 -269.004395
-678.448608 -73.040489 -275.165131
-685.878784 -75.571129 -281.465057
-693.249329 -77.933533 -288.089172
-701.185425 -79.549561 -294.139282
-709.263672 -81.017204 -300.293243
-717.584656 -82.139961 -305.956421
-725.981567 -82.821548 -311.564453
-735.233337 -82.876846 -315.593567
-744.620605 -82.912674 -319.681732
-753.569092 -83.662811 -324.451294
-762.167114 -84.583580 -329.515869
-770.898804 -85.357994 -334.478180
-780.709045 -85.498642 -337.104858
-790.304871 -85.658577 -340.601074
-799.365112 -84.736015 -344.839478
-807.320557 -83.479614 -350.951843
-815.431641 -84.199585 -357.033966
-823.104797 -85.044113 -363.582642
-829.294373 -85.849243 -371.722443
-836.643127 -86.648277 -378.743378
-841.888855 -86.978943 -387.349091
-846.971619 -87.570442 -396.274048
-851.028198 -87.822670 -405.540131
-854.709290 -88.597588 -414.903412
-859.803833 -89.203987 -423.591766
-864.474121 -89.761749 -432.499786
-870.483643 -90.086227 -440.619690
-876.551758 -90.027359 -448.643158
-882.854309 -90.690742 -456.592651
-889.300781 -91.564186 -464.425629
-895.184875 -93.676437 -472.499390
-900.745850 -95.757568 -480.901917
-906.366638 -96.677299 -489.369934
-912.332031 -97.114143 -497.389923
-918.947815 -98.180290 -505.116974
-925.406311 -99.273560 -512.703064
-931.883179 -100.443893 -520.644043
-938.395386 -101.610085 -528.182373
-944.671692 -103.015152 -536.115601
-950.924927 -103.908073 -543.891296
-957.793579 -104.035637 -551.296326
-964.755310 -104.168297 -558.945679
-971.966064 -104.673264 -566.050537
-976.219177 -105.009094 -570.106628
-616.094543 -65.438972 -224.112045
-616.094543 -65.438972 -224.112045
-626.098145 -67.870384 -238.982086
-632.317444 -69.064407 -246.766373
-638.627747 -69.853722 -254.488022
-646.153381 -70.849831 -261.103058
-654.710266 -71.771729 -266.617340
-663.713318 -72.687820 -271.482574
-672.876892 -73.833641 -276.086273
-681.780945 -75.386406 -280.559631
-690.814880 -76.862648 -285.098175
-699.962158 -77.781319 -289.693756
-709.052185 -78.618904 -294.241394
-718.187378 -79.315117 -298.398315
-727.522278 -79.563164 -302.554474
-736.705444 -79.597153 -306.560425
-745.905090 -79.549049 -310.573639
-755.321045 -79.907005 -314.681274
-764.839905 -80.939651 -318.682709
-774.407654 -81.900543 -322.003387
-784.014771 -82.600502 -325.204163
-793.873840 -83.161957 -328.089783
-803.733093 -83.605942 -330.975403
-813.487793 -83.735664 -333.830444
-823.085083 -84.370224 -336.641541
-832.711853 -84.763359 -339.544952
-842.302734 -85.191444 -342.441528
-851.939087 -85.466591 -345.497040
-861.496521 -85.792999 -349.241058
-870.680847 -85.956322 -353.197357
-880.153198 -86.049957 -357.126099
-889.567871 -85.865517 -361.143402
-898.757813 -85.694878 -365.178528
-908.246033 -85.511360 -369.256012
Custom
PathHailCast 29 35 1 1 1 "Scout Mirt'Zin" "Mirt'Zin's field report" 1 "4189597453"
-912.887268 -85.353394 -371.454956
-902.933655 -86.038788 -374.214752
-893.161560 -86.595100 -377.479340
-883.681824 -87.110382 -380.884735
-874.099121 -87.267776 -384.327026
-864.418640 -87.196655 -387.819305
-855.463440 -87.111732 -392.820343
-847.202759 -87.664825 -398.647003
-838.846375 -88.785118 -404.479462
-830.777832 -90.710495 -410.462006
-822.961060 -93.367905 -416.274048
-815.065186 -96.352394 -422.028290
-806.140137 -98.264824 -426.712677
-796.706909 -99.365723 -430.090668
-787.205017 -100.607552 -433.805786
-777.900085 -103.235817 -436.806610
-769.050049 -105.411858 -441.281128
-759.714905 -107.030540 -445.351776
-750.406616 -108.630524 -448.955444
-740.967285 -109.534248 -452.426727
-732.080200 -110.366920 -456.967865
-723.020569 -111.413315 -461.596985
-713.897949 -112.267509 -465.946716
-704.734985 -112.788513 -469.985596
-695.508179 -113.928139 -473.999664
-685.977234 -114.858704 -477.470825
-676.332153 -115.560303 -480.905518
-666.977417 -116.346909 -484.452911
-658.014160 -117.306297 -488.870941
-650.996460 -117.470917 -491.947815
-912.861938 -85.339165 -371.084808
-912.861938 -85.339165 -371.084808
-909.156006 -85.803459 -380.586609
-904.962402 -85.830818 -389.864349
-902.511536 -85.201591 -399.620483
-902.307861 -83.456558 -409.638763
-903.365601 -81.296700 -419.490692
-904.968323 -78.930374 -429.360504
-906.728333 -77.508858 -439.315491
-908.497864 -78.084129 -449.324127
-910.213684 -80.790970 -459.028961
-912.911011 -84.279114 -468.177734
-917.136719 -87.025291 -476.828918
-923.073547 -88.562401 -485.004700
-929.295044 -89.738396 -493.111237
-935.472473 -91.247444 -501.160156
-941.584351 -92.966507 -508.960388
-948.050842 -94.709747 -516.535889
-955.145447 -95.511818 -523.558289
-962.417664 -95.788673 -530.528259
-970.043884 -95.241539 -537.300964
-978.163452 -94.608757 -543.135315
-986.477234 -94.410118 -549.044922
-994.480530 -95.432838 -555.011414
-1002.473938 -96.856705 -560.991394
-1010.409180 -99.028534 -566.927917
-1018.614380 -100.289635 -572.986328
-1027.695435 -100.502808 -577.725403
-1036.767578 -99.702370 -582.059875
-1045.662842 -98.682465 -586.550903
Custom
PathHailCast 47 35 1 1 1 "Scout Volzekla" "I found all of the Sel'Nok Brigade scouts" 1 "4189597453"
-1049.290894 -98.209747 -588.385437
-1040.808350 -99.882309 -593.661804
-1030.677368 -101.356140 -593.527039
-1020.658081 -103.011467 -593.373596
-1010.726990 -104.364510 -593.454285
-1000.614868 -105.663055 -594.446289
-990.804199 -107.165329 -596.971008
-981.308167 -108.690994 -600.078064
-971.684814 -109.709564 -603.200195
-961.457458 -110.319466 -603.697449
-951.572815 -110.682152 -605.239258
-941.457092 -110.820900 -606.763916
-931.450745 -110.845161 -607.890015
-921.332703 -110.295700 -608.639404
-911.114746 -110.886497 -609.507385
-901.364197 -113.416031 -610.303528
-891.722046 -115.965004 -611.090576
-881.862854 -117.502480 -611.895386
-871.915039 -118.902412 -612.444458
-861.696716 -120.131264 -612.488342
-851.693665 -121.272949 -612.983398
-841.667786 -122.503700 -613.271851
-831.685242 -123.717270 -613.842224
-821.670715 -124.817360 -614.449524
-811.486084 -125.797478 -614.974670
-801.272034 -126.523911 -616.056946
-791.364624 -126.926895 -617.647278
-781.655945 -126.851707 -620.069458
-772.003906 -126.493240 -623.512024
-762.154480 -126.605782 -625.994629
-752.409851 -126.988342 -628.487549
-742.725891 -127.902786 -630.836487
-733.009094 -128.375305 -633.242859
-723.107666 -128.694244 -635.351074
-713.035522 -128.723328 -637.322449
-703.036011 -128.415451 -638.568909
-692.954529 -127.925087 -639.050964
-682.771179 -127.314911 -639.564819
-672.517273 -126.778969 -640.563293
-662.499268 -125.976532 -642.621094
-652.423096 -125.178413 -644.360107
-642.456543 -124.259720 -646.288452
-632.546570 -123.354286 -648.705139
-623.146790 -122.189636 -652.460999
-613.114929 -121.102654 -653.897217
-602.965576 -119.650589 -654.710815
-593.125122 -118.380379 -656.502441
-584.272522 -117.394051 -660.338684
-1048.875122 -98.258636 -588.085022
-1048.875122 -98.258636 -588.085022
-1039.283203 -99.949516 -590.640686
-1031.343872 -101.310966 -596.706970
-1025.557007 -101.956635 -604.844788
-1021.439148 -102.489365 -614.195496
-1016.278442 -103.156937 -622.821106
-1010.932983 -103.718811 -631.508850
-1005.573669 -104.129204 -640.013855
-999.782227 -104.736214 -648.211548
-993.875671 -105.269646 -656.572205
-988.052917 -105.729675 -664.814270
-982.209229 -106.187592 -673.086121
-976.386536 -106.878990 -681.328186
-970.459045 -108.143791 -689.718506
-964.468628 -109.126663 -698.197815
-958.708679 -110.412720 -706.373108
-954.923767 -111.371796 -715.758240
-951.555908 -112.398293 -725.155640
-948.181824 -113.255798 -734.570129
-944.770996 -113.926407 -744.087097
-941.311218 -114.290199 -753.740662
-939.057495 -114.280983 -763.499451
-938.281921 -113.672325 -773.484070
-938.423035 -112.295830 -783.501038
-939.131226 -110.672096 -793.620911
-939.123230 -108.709633 -803.635681
-938.688171 -106.926140 -813.481140
-938.309204 -105.061783 -823.419983
-937.929504 -103.187630 -833.376892
-937.548950 -101.799507 -843.352051
-937.166321 -100.413620 -853.381653
-936.785217 -99.006683 -863.374756
-936.405518 -97.373230 -873.335388
-936.017395 -95.920219 -883.514099
-935.506775 -94.778351 -893.587769
-934.372986 -93.883347 -903.669739
-933.224304 -92.925072 -913.768372
-932.091858 -91.104309 -923.722717
-930.967590 -89.263603 -933.604736
-929.804321 -87.539345 -943.829529
-928.702698 -84.861801 -953.513489
-927.506836 -82.202782 -963.387329
-926.374634 -80.979965 -973.487915
-925.370056 -78.564545 -983.181519
-926.760254 -77.679291 -993.063354
-929.992981 -74.851578 -1002.237061
-932.064148 -75.029831 -1006.199524
-940.990906 -74.555939 -1001.451782
-950.070496 -72.158485 -997.320923
-947.363342 -71.375626 -987.565796
-951.289917 -70.255295 -980.778564
-961.277222 -68.600395 -982.708557
-971.371887 -67.815651 -982.559143
Custom
HailActor "Battlemaster Kythe" 2
-976.351807 -67.760483 -979.902527
