Redeeming Qualities
Custom
HailActor "Kitkalla" 7
719.726196 74.629349 -989.463562
714.032288 72.099922 -981.409302
718.331848 68.836792 -972.832825
721.053284 65.313789 -963.759033
722.566162 72.577629 -956.516663
722.937561 75.016914 -946.501648
721.614380 75.453362 -936.377869
718.618896 73.589157 -926.593811
712.792908 72.562698 -918.130005
705.299988 71.601318 -911.056213
698.379639 70.182419 -903.762268
689.981201 70.181969 -897.617676
681.733276 70.605103 -891.878113
671.718933 71.511299 -890.674683
664.743835 71.784218 -898.281616
655.737366 71.804192 -903.221985
646.062073 71.950371 -906.650879
636.158813 72.707672 -908.586975
631.234924 74.108932 -917.338013
629.569153 76.190720 -927.056152
628.893799 80.529800 -936.561523
625.315308 85.758018 -944.410583
624.956177 85.632706 -944.179199
621.802429 81.726082 -935.240784
619.017395 77.346153 -926.455200
615.455933 76.402420 -916.828491
611.465393 75.266441 -906.957703
607.817200 72.906136 -897.933838
603.956604 72.693657 -888.384094
600.062439 74.185394 -879.087280
593.118408 75.365440 -871.712769
583.667419 76.998360 -867.662537
574.229187 78.405510 -863.737671
565.426270 81.418419 -859.723083
556.573853 81.761497 -855.002136
547.915894 78.219955 -850.733093
538.790649 76.084862 -847.090820
529.231018 77.182480 -844.039185
520.980408 76.514580 -838.052185
527.281555 76.970337 -830.249573
530.323914 79.927887 -821.033020
535.592285 81.915878 -812.453247
541.370178 83.661232 -804.097839
545.892273 85.852837 -795.214172
551.596497 85.954063 -786.821106
556.276428 86.623230 -777.966064
557.332886 88.789345 -767.803894
556.550781 90.713356 -757.963074
555.346497 92.525429 -747.851563
549.660889 94.479721 -739.533508
544.023193 96.180000 -731.442932
538.485535 98.500107 -723.096802
536.474915 99.432304 -713.096313
535.525208 101.742325 -703.408264
533.476685 103.920120 -693.841614
539.881897 105.115700 -685.919067
547.141907 104.716797 -678.632690
556.337219 102.888931 -673.802551
565.808838 101.079445 -670.599182
575.184204 98.388977 -667.716125
584.697327 95.532150 -669.647705
593.058594 92.770035 -675.089233
601.006775 91.782585 -681.444885
607.898682 91.603485 -688.708008
611.778137 92.115936 -698.195068
609.833923 92.705238 -708.036133
605.191650 92.712090 -716.930298
600.775085 92.469215 -726.093567
597.385193 98.051369 -734.406494
594.832947 104.032837 -742.235107
595.288208 99.074097 -751.262268
595.793152 90.966286 -757.788330
596.359070 88.111694 -767.437683
596.154785 85.003456 -777.200623
603.569702 90.938301 -773.273865
609.353027 99.278069 -774.675415
616.912476 105.461151 -777.688354
621.206421 112.022697 -770.977173
627.530396 117.426727 -765.209412
635.422668 121.425446 -770.443298
643.222900 117.897423 -765.135620
651.111084 117.685593 -758.750427
656.483032 125.812050 -756.224792
664.670593 131.534607 -753.865601
674.102905 133.533890 -750.943787
681.746399 126.978180 -750.076477
687.923889 135.147034 -748.900024
695.539673 141.651871 -746.367615
704.000854 146.951569 -743.731262
712.868896 150.360260 -740.506836
714.598328 150.753479 -739.744446
1028.112183 29.061693 -910.814270
1028.112183 29.061693 -910.814270
1027.792847 28.305752 -920.902954
1025.892578 26.410223 -930.617920
1021.782654 23.895468 -939.631104
1017.675598 21.188818 -948.507874
1013.575317 18.573092 -957.370422
1008.911011 16.768873 -966.045776
1003.002930 15.211885 -974.226379
994.593384 14.441380 -980.355530
985.048462 13.875117 -984.376404
976.659546 13.375359 -990.566284
968.511414 12.832881 -996.867432
960.674622 11.465710 -1002.927734
951.659363 10.655984 -1007.877563
942.069092 11.035120 -1010.779724
Custom
HailActor "Kitkalla" 2
934.401428 11.386500 -1014.708557
