Blood and Ry'Gorr
-421.342377 -378.073669 3048.752930
Custom
PathKill 82 35 35 1 1 1 "a ravaging snowmane" "Plush Snowmane Pelt" 1 "a snowmane sabertooth" "Pristine Snowmane Sabertooth Tusk (8/8)" 1 "*ATADD*" "I obtained the items necessary to create a gift worthy of presenting to Chief Ry'Gorr" 0
-413.967560 -377.638123 3049.225342
-404.233978 -376.625458 3046.873535
-395.369263 -375.948761 3042.146240
-389.151642 -374.877167 3034.205322
-384.274933 -373.488037 3025.156738
-387.085846 -371.694153 3015.668701
-395.434113 -368.685486 3010.559082
-400.475983 -365.207764 3002.264160
-402.127075 -362.993622 2992.461914
-402.277039 -362.661255 2982.088135
-397.316223 -363.957123 2973.374023
-387.584869 -367.370483 2972.225098
-377.816650 -369.791290 2970.329834
-368.425262 -370.467926 2966.119385
-359.755737 -369.819672 2960.557129
-349.943207 -368.789185 2963.708984
-346.728668 -369.006836 2973.239502
-343.430878 -369.823608 2983.016113
-339.875458 -370.632629 2992.500244
-336.021271 -371.580872 3001.701416
-329.242889 -372.299194 3009.666504
-322.444122 -372.727173 3017.015381
-314.683624 -372.917236 3023.361572
-306.094788 -372.799500 3028.654053
-297.112000 -372.615112 3033.414795
-287.599060 -372.066406 3036.541992
-277.662354 -371.098572 3038.281982
-267.660156 -369.849548 3038.562256
-257.684113 -369.393097 3039.360352
-247.870239 -369.147552 3041.313232
-238.903427 -368.760193 3046.444092
-231.150436 -368.751984 3053.133789
-230.384399 -370.241302 3063.175293
-231.918152 -371.523834 3073.015869
-233.584000 -372.260468 3083.468262
-235.219849 -372.217499 3093.733643
-226.143219 -371.989716 3098.035889
-216.004410 -371.699921 3098.697754
-206.589218 -370.691437 3095.333984
-198.911179 -368.920441 3088.966064
-190.048248 -366.702759 3084.572754
-179.950165 -365.042053 3085.343018
-170.554337 -363.539276 3088.863037
-162.281998 -362.927429 3094.802002
-155.375793 -363.383026 3102.186523
-149.284149 -363.900024 3110.224365
-149.550766 -365.346161 3120.142578
-153.208588 -366.793610 3129.460449
-159.986526 -368.159454 3137.054932
-167.909607 -369.390137 3143.277588
-175.921982 -370.292419 3149.780518
-183.787918 -370.928467 3156.163818
-191.752060 -370.748657 3162.666260
-200.663513 -370.924561 3167.473145
-210.172531 -372.150879 3171.376953
-219.479340 -372.889069 3175.674805
-224.166107 -372.635345 3184.853271
-229.631607 -372.624115 3193.573730
-235.647995 -372.650146 3201.628418
-243.016296 -372.183624 3208.963135
-251.911316 -371.992493 3213.866211
-260.952759 -371.066833 3218.128906
-270.580109 -369.652222 3221.034424
-279.819244 -367.910034 3224.989502
-288.769379 -366.189667 3229.180664
-297.900726 -364.594330 3232.965088
-307.428589 -362.823822 3236.293213
-317.529480 -363.982269 3234.044922
-325.656921 -366.504517 3228.700439
-334.363647 -369.035950 3222.990479
-343.503998 -370.074554 3218.495605
-353.237701 -369.171661 3216.288330
-363.194183 -367.538635 3215.380127
-373.109436 -365.589050 3214.661621
-383.711212 -364.551239 3214.007324
-383.711212 -364.551239 3214.007324
-384.200989 -366.752228 3202.789551
-383.228821 -369.644470 3193.108643
-381.533783 -371.560150 3183.428467
-378.936310 -373.096039 3173.778809
-375.574829 -374.484436 3164.162598
-372.294464 -375.608032 3154.778809
-372.007599 -375.705170 3153.958252
-413.494965 -377.539429 3048.884766
-413.494965 -377.539429 3048.884766
-423.523956 -378.517883 3050.270020
-433.461639 -379.363617 3048.430664
-443.498199 -380.837891 3046.513428
-453.578522 -382.785370 3044.587891
-463.499390 -384.909821 3042.468262
-472.100098 -386.406586 3037.179688
-479.346832 -387.414124 3029.806885
-486.354858 -388.382599 3022.701416
-493.642242 -389.380249 3015.355713
-500.941162 -390.456512 3008.021973
-508.205353 -391.538330 3000.722656
-515.617920 -392.450775 2993.273682
-522.763855 -393.435059 2986.092285
-529.803284 -394.396698 2979.018555
-536.895935 -395.169342 2971.891357
-543.978027 -395.734985 2964.753418
-548.523071 -395.583649 2955.537109
-547.403137 -394.386475 2945.181641
-545.840637 -393.076294 2934.981445
-544.348816 -391.428711 2925.114990
-543.669678 -389.946075 2915.013916
-543.713806 -388.636292 2905.016113
-544.248718 -387.296021 2894.998291
-544.991943 -385.992950 2885.050293
-544.340454 -384.357086 2875.171875
-543.263062 -382.431793 2864.870361
-541.977417 -380.531189 2854.879395
-540.988892 -378.544800 2845.027100
-540.314941 -376.657959 2835.052979
-544.489014 -374.356689 2825.940186
-543.833191 -372.234436 2816.088867
-542.944031 -370.483551 2806.191162
-542.665344 -368.618591 2795.989990
-542.791260 -366.956146 2785.940186
-543.459045 -365.532959 2775.907471
-545.205261 -363.892792 2766.036377
-548.446533 -362.282806 2756.460205
-552.004395 -361.080475 2746.956787
-554.914856 -360.129761 2737.155518
-557.419434 -359.423920 2727.301514
-560.102844 -359.239807 2717.378906
-563.706726 -357.951172 2707.932373
-567.397827 -355.777283 2698.747314
-567.470703 -354.169922 2688.784180
-566.979553 -352.832733 2678.627686
-566.464844 -351.618103 2668.585693
-566.415100 -350.667389 2658.510742
-567.906006 -349.453796 2648.664063
-576.693787 -348.404846 2642.979492
-585.470703 -347.457977 2637.686768
-595.508667 -346.539886 2635.615479
-605.535034 -345.738953 2637.091553
-615.538147 -344.584839 2640.054688
-625.345520 -343.571686 2643.550049
-634.468018 -342.731232 2648.229492
-642.231995 -342.054352 2655.031738
-647.552429 -341.593292 2663.804688
-652.074402 -341.955078 2673.161865
-656.320923 -342.920258 2682.526855
-659.710999 -343.458801 2692.191895
-658.707275 -343.366974 2702.430908
-653.109314 -343.442230 2710.822021
Custom
HailActor "Rogla Dainkiller" 1
-647.459839 -343.761536 2716.723145
