Ritual of Bone
4228.883301 -1087.386719 1903.298950
4235.923340 -1087.386841 1895.502197
4242.827148 -1087.464722 1886.792847
4249.133301 -1087.373413 1878.216553
4255.806641 -1087.052856 1869.833618
4262.665527 -1086.570068 1862.065063
4272.666992 -1086.481812 1861.826782
4282.876953 -1086.564209 1863.595459
4292.361328 -1085.558350 1867.334839
4293.458496 -1084.542236 1877.811768
4290.778809 -1083.987793 1887.861450
4288.154785 -1083.484253 1898.068115
4286.378418 -1083.228638 1907.917358
4285.039551 -1082.625366 1918.175537
4283.862305 -1082.929199 1929.004028
4282.845215 -1083.117188 1939.688354
4283.480957 -1082.862305 1950.228394
4287.470703 -1082.311890 1959.607178
4293.379883 -1083.166504 1967.709106
4299.612305 -1083.771851 1976.010864
4305.638672 -1084.570923 1984.288818
4310.038086 -1085.969238 1993.675049
4313.761230 -1087.159912 2003.368286
4318.045410 -1088.550659 2013.184937
4320.901855 -1089.824341 2023.286133
4322.628906 -1090.758301 2033.520874
4324.125488 -1089.270264 2043.455566
4326.675781 -1086.597046 2053.727539
4326.587891 -1084.465332 2064.365234
4321.172363 -1084.576172 2073.491699
4313.232422 -1086.311035 2079.634521
4317.597656 -1084.922607 2078.328369
4307.750000 -1088.603516 2077.200439
4306.496582 -1089.097046 2077.056641
4306.496582 -1089.097046 2077.056641
4306.757324 -1038.639648 2076.966064
4320.912598 -999.982910 2048.298584
4342.345215 -999.982910 2002.548462
4363.779785 -999.982910 1956.797729
4384.213867 -999.982910 1910.394165
4397.747559 -999.982910 1861.960815
4405.377930 -999.982910 1812.167847
4412.151367 -999.982910 1762.555908
4412.418457 -999.982910 1711.956055
4409.420410 -999.982910 1661.715454
4401.707520 -1009.635254 1612.803955
4386.031738 -1040.003296 1576.039917
Custom
FlyDown
4377.903809 -1072.075684 1553.291504
4377.888184 -1090.282349 1553.246460
Custom
ClickActor "qst_cs_osh_x7 bone shavings" 1
4378.587402 -1090.934814 1547.148926
4375.436035 -1091.769409 1537.578979
4372.529785 -1092.435303 1527.835449
4374.075195 -1092.895142 1517.776611
4381.362305 -1093.263184 1510.761597
4390.126953 -1093.341553 1505.200195
4399.749512 -1094.043457 1501.603149
4409.293457 -1094.444702 1497.783081
Custom
ClickActor "qst_cs_osh_x7 bone shavings" 1
4410.729980 -1094.494995 1496.937256
4415.824219 -1094.572510 1505.637573
4417.951660 -1044.649658 1512.593506
4412.057617 -1012.034302 1550.093018
4404.288086 -1012.034302 1599.512085
4391.944824 -1012.034302 1648.580933
4381.183105 -1012.034302 1697.801270
4370.499512 -1012.034302 1746.672729
4359.778320 -1012.034302 1795.719482
4349.065430 -1012.034302 1844.727783
4338.355957 -1012.034302 1893.715942
4327.592285 -1012.034302 1942.956299
4308.848145 -1027.257935 1987.014893
DontStopForCombat
4285.346680 -1059.709717 2018.181885
Custom
FlyDown
4273.914063 -1083.630005 2033.984863
Custom
HailActor Osh 2
4269.172852 -1093.840942 2037.144897
4266.789551 -1093.932373 2041.517700
4267.006348 -1096.040039 2051.894043
Custom
HailActor Merrik 4
4266.354492 -1096.464600 2059.465088
4256.613281 -1095.283813 2055.612549
Custom
HailActor Nika 4
4252.760254 -1094.690674 2054.972168
4261.805664 -1095.107178 2049.198730
4267.556152 -1095.264160 2044.947510
Custom
HailActor Osh 4
4267.754395 -1094.567871 2041.184448
Custom
HailActorMultiOption Osh 1 1 2
4267.754395 -1094.567871 2041.184448
Custom
WaitForZoning
0 0 0
StopForCombat
Custom
HailActor Osh 1
4258.308594 -1095.517090 2055.633545
Custom
ExecuteCommand "eq2ex target_none"
4258.308594 -1095.517090 2055.633545
Wait
1200
4258.308594 -1095.517090 2055.633545
Custom
ClickActor Osh
4258.308594 -1095.517090 2055.633545
DontStopForCombat
Custom
WaitForZoning
0 0 0
Custom
HailActor Osh 7
4255.718262 -1095.060059 2054.650146
